"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,2,1855020643,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,2,1855046119,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,2,1855064005,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,2,1855081749,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,2,1855100696,5.14,1,1,23.34,72.09,7500,1,0,7.5
11,200,2,5200,2,1855118670,5.14,1,1,23.34,72.09,7500,1,0,7.5
13,200,2,5200,2,1855137725,5.14,1,1,23.34,72.09,7500,1,0,7.5
15,200,2,5200,2,1855155774,5.14,1,1,23.34,72.09,7500,1,0,7.5
17,200,2,5200,2,1855173318,5.14,1,1,23.34,72.09,7500,1,0,7.5
19,200,2,5200,2,1855190308,5.14,1,1,23.34,72.09,7500,1,0,7.5
21,200,2,5200,2,1855208542,5.14,1,1,23.34,72.09,7500,1,0,7.5
23,200,2,5200,2,1855227176,5.14,1,1,23.34,72.09,7500,1,0,7.5
25,200,2,5200,2,1855245984,5.14,1,1,23.34,72.09,7500,1,0,7.5
27,200,2,5200,2,1855264434,5.14,1,1,23.34,72.09,7500,1,0,7.5
29,200,2,5200,2,1855281866,5.14,1,1,23.34,72.09,7500,1,0,7.5
31,200,2,5200,2,1855301053,5.14,1,1,23.34,72.09,7500,1,0,7.5
33,200,2,5200,2,1855320563,5.14,1,1,23.34,72.09,7500,1,0,7.5
35,200,2,5200,2,1855338320,5.14,1,1,23.34,72.09,7500,1,0,7.5
37,200,2,5200,2,1855356629,5.14,1,1,23.34,72.09,7500,1,0,7.5
39,200,2,5200,2,1855375389,5.14,1,1,23.34,72.09,7500,1,0,7.5
41,200,2,5200,2,1855392999,5.14,1,1,23.34,72.09,7500,1,0,7.5
43,200,2,5200,2,1855410765,5.14,1,1,23.34,72.09,7500,1,0,7.5
45,200,2,5200,2,1855428484,5.14,1,1,23.34,72.09,7500,1,0,7.5
47,200,2,5200,2,1855447492,5.14,1,1,23.34,72.09,7500,1,0,7.5
49,200,2,5200,2,1855465887,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,2,1855020446,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,2,1855048177,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,2,1855068772,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,2,1855089511,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,2,1855108216,5.14,1,1,23.34,72.09,7500,1,0,7.5
12,200,2,5200,2,1855126983,5.14,1,1,23.34,72.09,7500,1,0,7.5
14,200,2,5200,2,1855146205,5.14,1,1,23.34,72.09,7500,1,0,7.5
16,200,2,5200,2,1855164298,5.14,1,1,23.34,72.09,7500,1,0,7.5
18,200,2,5200,2,1855183196,5.14,1,1,23.34,72.09,7500,1,0,7.5
20,200,2,5200,2,1855201479,5.14,1,1,23.34,72.09,7500,1,0,7.5
22,200,2,5200,2,1855219758,5.14,1,1,23.34,72.09,7500,1,0,7.5
24,200,2,5200,2,1855238620,5.14,1,1,23.34,72.09,7500,1,0,7.5
26,200,2,5200,2,1855256933,5.14,1,1,23.34,72.09,7500,1,0,7.5
28,200,2,5200,2,1855275676,5.14,1,1,23.34,72.09,7500,1,0,7.5
30,200,2,5200,2,1855295117,5.14,1,1,23.34,72.09,7500,1,0,7.5
32,200,2,5200,2,1855315704,5.14,1,1,23.34,72.09,7500,1,0,7.5
34,200,2,5200,2,1855333663,5.14,1,1,23.34,72.09,7500,1,0,7.5
36,200,2,5200,2,1855351688,5.14,1,1,23.34,72.09,7500,1,0,7.5
38,200,2,5200,2,1855370140,5.14,1,1,23.34,72.09,7500,1,0,7.5
40,200,2,5200,2,1855388442,5.14,1,1,23.34,72.09,7500,1,0,7.5
42,200,2,5200,2,1855406841,5.14,1,1,23.34,72.09,7500,1,0,7.5
44,200,2,5200,2,1855426384,5.14,1,1,23.34,72.09,7500,1,0,7.5
46,200,2,5200,2,1855444595,5.14,1,1,23.34,72.09,7500,1,0,7.5
48,200,2,5200,2,1855464060,5.14,1,1,23.34,72.09,7500,1,0,7.5
50,200,2,5200,2,1855483024,5.14,1,1,23.34,72.09,7500,1,0,7.5
