"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,700,2,2080,1,307422870,5.14,1,1,23.34,72.09,2500,0,1,7.5
2,700,2,2080,1,307472836,5.14,1,1,23.34,72.09,2500,0,2,7.5
3,700,2,2080,2,307508928,5.14,1,1,23.34,72.09,2500,0,1,7.5
4,700,2,2080,2,307511160,5.14,1,1,23.34,72.09,2500,0,2,7.5
5,700,2,2080,3,307513470,5.14,1,1,23.34,72.09,2500,0,1,7.5
6,700,2,2080,3,307514799,5.14,1,1,23.34,72.09,2500,0,2,7.5
7,700,2,2080,1,307516278,5.14,1,1,23.34,72.09,2500,0,1,7.5
8,700,2,2080,1,307557325,5.14,1,1,23.34,72.09,2500,0,2,7.5
9,700,2,2080,2,307593567,5.14,1,1,23.34,72.09,2500,0,1,7.5
10,700,2,2080,2,307596020,5.14,1,1,23.34,72.09,2500,0,2,7.5
11,700,2,2080,3,307598451,5.14,1,1,23.34,72.09,2500,0,1,7.5
12,700,2,2080,3,307599788,5.14,1,1,23.34,72.09,2500,0,2,7.5
13,700,2,2080,1,307601001,5.14,1,1,23.34,72.09,2500,0,1,7.5
14,700,2,2080,1,307642074,5.14,1,1,23.34,72.09,2500,0,2,7.5
15,700,2,2080,2,307678633,5.14,1,1,23.34,72.09,2500,0,1,7.5
16,700,2,2080,2,307680804,5.14,1,1,23.34,72.09,2500,0,2,7.5
17,700,2,2080,3,307682917,5.14,1,1,23.34,72.09,2500,0,1,7.5
18,700,2,2080,3,307683872,5.14,1,1,23.34,72.09,2500,0,2,7.5
19,700,2,2080,1,307684735,5.14,1,1,23.34,72.09,2500,0,1,7.5
20,700,2,2080,1,307726230,5.14,1,1,23.34,72.09,2500,0,2,7.5
21,700,2,2080,2,307762876,5.14,1,1,23.34,72.09,2500,0,1,7.5
22,700,2,2080,2,307765176,5.14,1,1,23.34,72.09,2500,0,2,7.5
23,700,2,2080,3,307767125,5.14,1,1,23.34,72.09,2500,0,1,7.5
24,700,2,2080,3,307768020,5.14,1,1,23.34,72.09,2500,0,2,7.5
25,700,2,2080,1,307768905,5.14,1,1,23.34,72.09,2500,0,1,7.5
26,700,2,2080,1,307811642,5.14,1,1,23.34,72.09,2500,0,2,7.5
27,700,2,2080,2,307848688,5.14,1,1,23.34,72.09,2500,0,1,7.5
28,700,2,2080,2,307850834,5.14,1,1,23.34,72.09,2500,0,2,7.5
29,700,2,2080,3,307852981,5.14,1,1,23.34,72.09,2500,0,1,7.5
30,700,2,2080,3,307853971,5.14,1,1,23.34,72.09,2500,0,2,7.5
31,700,2,2080,1,307854973,5.14,1,1,23.34,72.09,2500,0,1,7.5
32,700,2,2080,1,307898911,5.14,1,1,23.34,72.09,2500,0,2,7.5
33,700,2,2080,2,307935372,5.14,1,1,23.34,72.09,2500,0,1,7.5
34,700,2,2080,2,307937580,5.14,1,1,23.34,72.09,2500,0,2,7.5
35,700,2,2080,3,307939740,5.14,1,1,23.34,72.09,2500,0,1,7.5
36,700,2,2080,3,307940763,5.14,1,1,23.34,72.09,2500,0,2,7.5
37,700,2,2080,1,307941721,5.14,1,1,23.34,72.09,2500,0,1,7.5
38,700,2,2080,1,307983961,5.14,1,1,23.34,72.09,2500,0,2,7.5
39,700,2,2080,2,308022193,5.14,1,1,23.34,72.09,2500,0,1,7.5
40,700,2,2080,2,308024500,5.14,1,1,23.34,72.09,2500,0,2,7.5
41,700,2,2080,3,308026647,5.14,1,1,23.34,72.09,2500,0,1,7.5
42,700,2,2080,3,308027648,5.14,1,1,23.34,72.09,2500,0,2,7.5
43,700,2,2080,1,308028561,5.14,1,1,23.34,72.09,2500,0,1,7.5
44,700,2,2080,1,308070270,5.14,1,1,23.34,72.09,2500,0,2,7.5
45,700,2,2080,2,308107625,5.14,1,1,23.34,72.09,2500,0,1,7.5
46,700,2,2080,2,308109810,5.14,1,1,23.34,72.09,2500,0,2,7.5
47,700,2,2080,3,308112124,5.14,1,1,23.34,72.09,2500,0,1,7.5
48,700,2,2080,3,308113036,5.14,1,1,23.34,72.09,2500,0,2,7.5
49,700,2,2080,1,308113965,5.14,1,1,23.34,72.09,2500,0,1,7.5
50,700,2,2080,1,308157091,5.14,1,1,23.34,72.09,2500,0,2,7.5
51,700,2,2080,2,308194645,5.14,1,1,23.34,72.09,2500,0,1,7.5
52,700,2,2080,2,308196962,5.14,1,1,23.34,72.09,2500,0,2,7.5
53,700,2,2080,3,308199185,5.14,1,1,23.34,72.09,2500,0,1,7.5
54,700,2,2080,3,308200141,5.14,1,1,23.34,72.09,2500,0,2,7.5
55,700,2,2080,1,308201088,5.14,1,1,23.34,72.09,2500,0,1,7.5
56,700,2,2080,1,308245318,5.14,1,1,23.34,72.09,2500,0,2,7.5
57,700,2,2080,2,308281204,5.14,1,1,23.34,72.09,2500,0,1,7.5
58,700,2,2080,2,308283230,5.14,1,1,23.34,72.09,2500,0,2,7.5
59,700,2,2080,3,308285307,5.14,1,1,23.34,72.09,2500,0,1,7.5
60,700,2,2080,3,308286334,5.14,1,1,23.34,72.09,2500,0,2,7.5
