"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,18,3000,2,2080,2,562509561,5.14,1,1,23.34,72.09,400,0,2,7.5
2,18,3000,2,2080,2,562517164,5.14,1,1,23.34,72.09,400,2,2,7.5
3,18,3000,2,2080,2,562521627,5.14,1,1,23.34,72.09,400,3,2,7.5
4,18,3000,2,2080,3,562524748,5.14,1,1,23.34,72.09,400,0,2,7.5
5,18,3000,2,2080,3,562527207,5.14,1,1,23.34,72.09,400,2,2,7.5
6,18,3000,2,2080,3,562528837,5.14,1,1,23.34,72.09,400,3,2,7.5
7,18,3000,2,2080,2,562530927,5.14,1,1,23.34,72.09,400,0,2,7.5
8,18,3000,2,2080,2,562534380,5.14,1,1,23.34,72.09,400,2,2,7.5
9,18,3000,2,2080,2,562537502,5.14,1,1,23.34,72.09,400,3,2,7.5
10,18,3000,2,2080,3,562539527,5.14,1,1,23.34,72.09,400,0,2,7.5
11,18,3000,2,2080,3,562541292,5.14,1,1,23.34,72.09,400,2,2,7.5
12,18,3000,2,2080,3,562543194,5.14,1,1,23.34,72.09,400,3,2,7.5
13,18,3000,2,2080,2,562544699,5.14,1,1,23.34,72.09,400,0,2,7.5
14,18,3000,2,2080,2,562548056,5.14,1,1,23.34,72.09,400,2,2,7.5
15,18,3000,2,2080,2,562551489,5.14,1,1,23.34,72.09,400,3,2,7.5
16,18,3000,2,2080,3,562553976,5.14,1,1,23.34,72.09,400,0,2,7.5
17,18,3000,2,2080,3,562555640,5.14,1,1,23.34,72.09,400,2,2,7.5
18,18,3000,2,2080,3,562557527,5.14,1,1,23.34,72.09,400,3,2,7.5
19,18,3000,2,2080,2,562558709,5.14,1,1,23.34,72.09,400,0,2,7.5
20,18,3000,2,2080,2,562562155,5.14,1,1,23.34,72.09,400,2,2,7.5
21,18,3000,2,2080,2,562565400,5.14,1,1,23.34,72.09,400,3,2,7.5
22,18,3000,2,2080,3,562567499,5.14,1,1,23.34,72.09,400,0,2,7.5
23,18,3000,2,2080,3,562569114,5.14,1,1,23.34,72.09,400,2,2,7.5
24,18,3000,2,2080,3,562570803,5.14,1,1,23.34,72.09,400,3,2,7.5
25,18,3000,2,2080,2,562572191,5.14,1,1,23.34,72.09,400,0,2,7.5
26,18,3000,2,2080,2,562575451,5.14,1,1,23.34,72.09,400,2,2,7.5
27,18,3000,2,2080,2,562578735,5.14,1,1,23.34,72.09,400,3,2,7.5
28,18,3000,2,2080,3,562581262,5.14,1,1,23.34,72.09,400,0,2,7.5
29,18,3000,2,2080,3,562582952,5.14,1,1,23.34,72.09,400,2,2,7.5
30,18,3000,2,2080,3,562584334,5.14,1,1,23.34,72.09,400,3,2,7.5
31,18,3000,2,2080,2,562585966,5.14,1,1,23.34,72.09,400,0,2,7.5
32,18,3000,2,2080,2,562589032,5.14,1,1,23.34,72.09,400,2,2,7.5
33,18,3000,2,2080,2,562592326,5.14,1,1,23.34,72.09,400,3,2,7.5
34,18,3000,2,2080,3,562594605,5.14,1,1,23.34,72.09,400,0,2,7.5
35,18,3000,2,2080,3,562596364,5.14,1,1,23.34,72.09,400,2,2,7.5
36,18,3000,2,2080,3,562597762,5.14,1,1,23.34,72.09,400,3,2,7.5
37,18,3000,2,2080,2,562599200,5.14,1,1,23.34,72.09,400,0,2,7.5
38,18,3000,2,2080,2,562602816,5.14,1,1,23.34,72.09,400,2,2,7.5
39,18,3000,2,2080,2,562605856,5.14,1,1,23.34,72.09,400,3,2,7.5
40,18,3000,2,2080,3,562607645,5.14,1,1,23.34,72.09,400,0,2,7.5
41,18,3000,2,2080,3,562609491,5.14,1,1,23.34,72.09,400,2,2,7.5
42,18,3000,2,2080,3,562610886,5.14,1,1,23.34,72.09,400,3,2,7.5
43,18,3000,2,2080,2,562612268,5.14,1,1,23.34,72.09,400,0,2,7.5
44,18,3000,2,2080,2,562615587,5.14,1,1,23.34,72.09,400,2,2,7.5
45,18,3000,2,2080,2,562619014,5.14,1,1,23.34,72.09,400,3,2,7.5
46,18,3000,2,2080,3,562621547,5.14,1,1,23.34,72.09,400,0,2,7.5
47,18,3000,2,2080,3,562623065,5.14,1,1,23.34,72.09,400,2,2,7.5
48,18,3000,2,2080,3,562624468,5.14,1,1,23.34,72.09,400,3,2,7.5
49,18,3000,2,2080,2,562625912,5.14,1,1,23.34,72.09,400,0,2,7.5
50,18,3000,2,2080,2,562629227,5.14,1,1,23.34,72.09,400,2,2,7.5
51,18,3000,2,2080,2,562632452,5.14,1,1,23.34,72.09,400,3,2,7.5
52,18,3000,2,2080,3,562634351,5.14,1,1,23.34,72.09,400,0,2,7.5
53,18,3000,2,2080,3,562636079,5.14,1,1,23.34,72.09,400,2,2,7.5
54,18,3000,2,2080,3,562637879,5.14,1,1,23.34,72.09,400,3,2,7.5
55,18,3000,2,2080,2,562639194,5.14,1,1,23.34,72.09,400,0,2,7.5
56,18,3000,2,2080,2,562642352,5.14,1,1,23.34,72.09,400,2,2,7.5
57,18,3000,2,2080,2,562645297,5.14,1,1,23.34,72.09,400,3,2,7.5
58,18,3000,2,2080,3,562647526,5.14,1,1,23.34,72.09,400,0,2,7.5
59,18,3000,2,2080,3,562649455,5.14,1,1,23.34,72.09,400,2,2,7.5
60,18,3000,2,2080,3,562650910,5.14,1,1,23.34,72.09,400,3,2,7.5
