"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,700,2,2080,2,-282673297,5.14,1,1,23.34,72.09,300,1,0,7.5
2,700,2,2080,2,-282668517,5.14,1,1,23.34,72.09,300,1,0,7.5
3,700,2,2080,2,-282664789,5.14,1,1,23.34,72.09,300,1,0,7.5
4,700,2,2080,2,-282662540,5.14,1,1,23.34,72.09,300,1,0,7.5
5,700,2,2080,2,-282660636,5.14,1,1,23.34,72.09,300,1,0,7.5
6,700,2,2080,2,-282659105,5.14,1,1,23.34,72.09,300,1,0,7.5
7,700,2,2080,2,-282657460,5.14,1,1,23.34,72.09,300,1,0,7.5
8,700,2,2080,2,-282655591,5.14,1,1,23.34,72.09,300,1,0,7.5
9,700,2,2080,2,-282653926,5.14,1,1,23.34,72.09,300,1,0,7.5
10,700,2,2080,2,-282652494,5.14,1,1,23.34,72.09,300,1,0,7.5
