"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,700,2,2080,1,264591110,5.14,1,1,23.34,72.09,2500,0,1,7.5
2,700,2,2080,1,264672084,5.14,1,1,23.34,72.09,2500,0,2,7.5
3,700,2,2080,2,264728848,5.14,1,1,23.34,72.09,2500,0,1,7.5
4,700,2,2080,2,264731488,5.14,1,1,23.34,72.09,2500,0,2,7.5
5,700,2,2080,3,264734120,5.14,1,1,23.34,72.09,2500,0,1,7.5
6,700,2,2080,3,264735662,5.14,1,1,23.34,72.09,2500,0,2,7.5
7,700,2,2080,1,264737007,5.14,1,1,23.34,72.09,2500,0,1,7.5
8,700,2,2080,1,264803649,5.14,1,1,23.34,72.09,2500,0,2,7.5
9,700,2,2080,2,264855730,5.14,1,1,23.34,72.09,2500,0,1,7.5
10,700,2,2080,2,264860936,5.14,1,1,23.34,72.09,2500,0,2,7.5
11,700,2,2080,3,264864112,5.14,1,1,23.34,72.09,2500,0,1,7.5
12,700,2,2080,3,264865401,5.14,1,1,23.34,72.09,2500,0,2,7.5
13,700,2,2080,1,264866488,5.14,1,1,23.34,72.09,2500,0,1,7.5
14,700,2,2080,1,264946627,5.14,1,1,23.34,72.09,2500,0,2,7.5
15,700,2,2080,2,265024062,5.14,1,1,23.34,72.09,2500,0,1,7.5
16,700,2,2080,2,265026623,5.14,1,1,23.34,72.09,2500,0,2,7.5
17,700,2,2080,3,265029046,5.14,1,1,23.34,72.09,2500,0,1,7.5
18,700,2,2080,3,265030077,5.14,1,1,23.34,72.09,2500,0,2,7.5
19,700,2,2080,1,265031067,5.14,1,1,23.34,72.09,2500,0,1,7.5
20,700,2,2080,1,265089426,5.14,1,1,23.34,72.09,2500,0,2,7.5
21,700,2,2080,2,265143373,5.14,1,1,23.34,72.09,2500,0,1,7.5
22,700,2,2080,2,265145978,5.14,1,1,23.34,72.09,2500,0,2,7.5
23,700,2,2080,3,265148219,5.14,1,1,23.34,72.09,2500,0,1,7.5
24,700,2,2080,3,265149320,5.14,1,1,23.34,72.09,2500,0,2,7.5
25,700,2,2080,1,265150459,5.14,1,1,23.34,72.09,2500,0,1,7.5
26,700,2,2080,1,265241258,5.14,1,1,23.34,72.09,2500,0,2,7.5
27,700,2,2080,2,265289851,5.14,1,1,23.34,72.09,2500,0,1,7.5
28,700,2,2080,2,265292160,5.14,1,1,23.34,72.09,2500,0,2,7.5
29,700,2,2080,3,265294276,5.14,1,1,23.34,72.09,2500,0,1,7.5
30,700,2,2080,3,265295580,5.14,1,1,23.34,72.09,2500,0,2,7.5
31,700,2,2080,1,265296625,5.14,1,1,23.34,72.09,2500,0,1,7.5
32,700,2,2080,1,265353827,5.14,1,1,23.34,72.09,2500,0,2,7.5
33,700,2,2080,2,265413255,5.14,1,1,23.34,72.09,2500,0,1,7.5
34,700,2,2080,2,265416122,5.14,1,1,23.34,72.09,2500,0,2,7.5
35,700,2,2080,3,265418454,5.14,1,1,23.34,72.09,2500,0,1,7.5
36,700,2,2080,3,265420096,5.14,1,1,23.34,72.09,2500,0,2,7.5
37,700,2,2080,1,265421401,5.14,1,1,23.34,72.09,2500,0,1,7.5
38,700,2,2080,1,265479728,5.14,1,1,23.34,72.09,2500,0,2,7.5
39,700,2,2080,2,265527090,5.14,1,1,23.34,72.09,2500,0,1,7.5
40,700,2,2080,2,265529267,5.14,1,1,23.34,72.09,2500,0,2,7.5
41,700,2,2080,3,265531379,5.14,1,1,23.34,72.09,2500,0,1,7.5
42,700,2,2080,3,265532430,5.14,1,1,23.34,72.09,2500,0,2,7.5
43,700,2,2080,1,265533379,5.14,1,1,23.34,72.09,2500,0,1,7.5
44,700,2,2080,1,265588405,5.14,1,1,23.34,72.09,2500,0,2,7.5
45,700,2,2080,2,265637136,5.14,1,1,23.34,72.09,2500,0,1,7.5
46,700,2,2080,2,265639472,5.14,1,1,23.34,72.09,2500,0,2,7.5
47,700,2,2080,3,265641706,5.14,1,1,23.34,72.09,2500,0,1,7.5
48,700,2,2080,3,265642668,5.14,1,1,23.34,72.09,2500,0,2,7.5
49,700,2,2080,1,265643528,5.14,1,1,23.34,72.09,2500,0,1,7.5
50,700,2,2080,1,265701954,5.14,1,1,23.34,72.09,2500,0,2,7.5
51,700,2,2080,2,265749684,5.14,1,1,23.34,72.09,2500,0,1,7.5
52,700,2,2080,2,265752039,5.14,1,1,23.34,72.09,2500,0,2,7.5
53,700,2,2080,3,265754103,5.14,1,1,23.34,72.09,2500,0,1,7.5
54,700,2,2080,3,265755183,5.14,1,1,23.34,72.09,2500,0,2,7.5
55,700,2,2080,1,265756092,5.14,1,1,23.34,72.09,2500,0,1,7.5
56,700,2,2080,1,265809863,5.14,1,1,23.34,72.09,2500,0,2,7.5
57,700,2,2080,2,265857846,5.14,1,1,23.34,72.09,2500,0,1,7.5
58,700,2,2080,2,265859969,5.14,1,1,23.34,72.09,2500,0,2,7.5
59,700,2,2080,3,265862210,5.14,1,1,23.34,72.09,2500,0,1,7.5
60,700,2,2080,3,265863187,5.14,1,1,23.34,72.09,2500,0,2,7.5
