"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,-1795600386,5.14,1,20,23.34,72.09,600,0,7.5,520,2
3,-1795592879,5.14,1,20,23.34,72.09,600,0,7.5,520,2
5,-1795589712,5.14,1,20,23.34,72.09,600,0,7.5,520,2
7,-1795587923,5.14,1,20,23.34,72.09,600,0,7.5,520,2
9,-1795586221,5.14,1,20,23.34,72.09,600,0,7.5,520,2
11,-1795585065,5.14,1,20,23.34,72.09,600,0,7.5,520,2
13,-1795583738,5.14,1,20,23.34,72.09,600,0,7.5,520,2
15,-1795582185,5.14,1,20,23.34,72.09,600,0,7.5,520,2
17,-1795580688,5.14,1,20,23.34,72.09,600,0,7.5,520,2
19,-1795579668,5.14,1,20,23.34,72.09,600,0,7.5,520,2
21,-1795578870,5.14,1,20,23.34,72.09,600,0,7.5,520,2
23,-1795577976,5.14,1,20,23.34,72.09,600,0,7.5,520,2
25,-1795577287,5.14,1,20,23.34,72.09,600,0,7.5,520,2
27,-1795576487,5.14,1,20,23.34,72.09,600,0,7.5,520,2
29,-1795575626,5.14,1,20,23.34,72.09,600,0,7.5,520,2
31,-1795574831,5.14,1,20,23.34,72.09,600,0,7.5,520,2
33,-1795573704,5.14,1,20,23.34,72.09,600,0,7.5,520,2
35,-1795572627,5.14,1,20,23.34,72.09,600,0,7.5,520,2
37,-1795571850,5.14,1,20,23.34,72.09,600,0,7.5,520,2
39,-1795570940,5.14,1,20,23.34,72.09,600,0,7.5,520,2
41,-1795570050,5.14,1,20,23.34,72.09,600,0,7.5,520,2
43,-1795569006,5.14,1,20,23.34,72.09,600,0,7.5,520,2
45,-1795568266,5.14,1,20,23.34,72.09,600,0,7.5,520,2
47,-1795567481,5.14,1,20,23.34,72.09,600,0,7.5,520,2
49,-1795566442,5.14,1,20,23.34,72.09,600,0,7.5,520,2
2,-1795600367,5.14,1,20,23.34,72.09,600,0,7.5,520,2
4,-1795593229,5.14,1,20,23.34,72.09,600,0,7.5,520,2
6,-1795589832,5.14,1,20,23.34,72.09,600,0,7.5,520,2
8,-1795588154,5.14,1,20,23.34,72.09,600,0,7.5,520,2
10,-1795586405,5.14,1,20,23.34,72.09,600,0,7.5,520,2
12,-1795585200,5.14,1,20,23.34,72.09,600,0,7.5,520,2
14,-1795584007,5.14,1,20,23.34,72.09,600,0,7.5,520,2
16,-1795582582,5.14,1,20,23.34,72.09,600,0,7.5,520,2
18,-1795581327,5.14,1,20,23.34,72.09,600,0,7.5,520,2
20,-1795580103,5.14,1,20,23.34,72.09,600,0,7.5,520,2
22,-1795579225,5.14,1,20,23.34,72.09,600,0,7.5,520,2
24,-1795578345,5.14,1,20,23.34,72.09,600,0,7.5,520,2
26,-1795576890,5.14,1,20,23.34,72.09,600,0,7.5,520,2
28,-1795576074,5.14,1,20,23.34,72.09,600,0,7.5,520,2
30,-1795575189,5.14,1,20,23.34,72.09,600,0,7.5,520,2
32,-1795574426,5.14,1,20,23.34,72.09,600,0,7.5,520,2
34,-1795573127,5.14,1,20,23.34,72.09,600,0,7.5,520,2
36,-1795572343,5.14,1,20,23.34,72.09,600,0,7.5,520,2
38,-1795571512,5.14,1,20,23.34,72.09,600,0,7.5,520,2
40,-1795570649,5.14,1,20,23.34,72.09,600,0,7.5,520,2
42,-1795569618,5.14,1,20,23.34,72.09,600,0,7.5,520,2
44,-1795568783,5.14,1,20,23.34,72.09,600,0,7.5,520,2
46,-1795567936,5.14,1,20,23.34,72.09,600,0,7.5,520,2
48,-1795567037,5.14,1,20,23.34,72.09,600,0,7.5,520,2
50,-1795566125,5.14,1,20,23.34,72.09,600,0,7.5,520,2
