"run","tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
1,1.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,2.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,3.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,4.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,5.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,6.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,7.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,8.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,9.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,10.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,11.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,12.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,13.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,14.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,15.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,16.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,17.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,18.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,19.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,20.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,21.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,22.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,23.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.0,0.0
1,24.0,0.0,0.9615384615384616,0.0,28.46153846153846,0.19230769230769232,0.19230769230769232
1,25.0,0.576923076923077,0.9615384615384616,0.576923076923077,28.46153846153846,0.19230769230769232,0.19230769230769232
1,26.0,0.7692307692307693,0.9615384615384616,0.7692307692307693,28.46153846153846,0.38461538461538464,0.38461538461538464
1,27.0,0.7692307692307693,0.9615384615384616,0.7692307692307693,30.76923076923077,1.9230769230769231,1.9230769230769231
1,28.0,0.9615384615384616,1.153846153846154,0.9615384615384616,30.76923076923077,3.076923076923077,3.076923076923077
1,29.0,0.9615384615384616,1.153846153846154,0.9615384615384616,30.76923076923077,5.769230769230769,5.769230769230769
1,30.0,0.9615384615384616,1.7307692307692308,0.9615384615384616,30.76923076923077,7.6923076923076925,7.6923076923076925
1,31.0,0.9615384615384616,1.7307692307692308,0.9615384615384616,30.76923076923077,8.461538461538462,8.461538461538462
1,32.0,0.9615384615384616,1.7307692307692308,0.9615384615384616,30.76923076923077,10.0,10.0
1,33.0,0.9615384615384616,1.7307692307692308,0.9615384615384616,30.76923076923077,13.076923076923078,13.076923076923078
1,34.0,0.9615384615384616,1.7307692307692308,0.9615384615384616,30.76923076923077,16.346153846153847,16.346153846153847
1,35.0,0.9615384615384616,1.7307692307692308,0.9615384615384616,30.76923076923077,18.461538461538463,18.461538461538463
1,36.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,20.384615384615383,20.384615384615383
1,37.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,22.884615384615383,22.884615384615383
1,38.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,24.807692307692307,24.807692307692307
1,39.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,26.53846153846154,26.53846153846154
1,40.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,26.73076923076923,26.73076923076923
1,41.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,27.307692307692307,27.307692307692307
1,42.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,27.692307692307693,27.692307692307693
1,43.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,28.46153846153846,28.46153846153846
1,44.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,28.653846153846153,28.653846153846153
1,45.0,0.9615384615384616,2.5,0.9615384615384616,30.76923076923077,28.653846153846153,28.653846153846153
1,46.0,1.153846153846154,2.5,1.153846153846154,82.5,28.653846153846153,28.653846153846153
1,47.0,1.153846153846154,2.5,1.153846153846154,82.5,28.846153846153843,28.846153846153843
1,48.0,1.153846153846154,2.5,1.153846153846154,82.5,29.03846153846154,29.03846153846154
1,49.0,1.5384615384615385,2.6923076923076925,1.5384615384615385,82.5,29.423076923076923,29.423076923076923
1,50.0,1.5384615384615385,2.8846153846153846,1.5384615384615385,82.5,29.423076923076923,29.423076923076923
1,51.0,1.7307692307692308,2.8846153846153846,1.7307692307692308,82.5,29.423076923076923,29.423076923076923
1,52.0,1.7307692307692308,2.8846153846153846,1.7307692307692308,82.5,29.615384615384617,29.615384615384617
1,53.0,1.7307692307692308,3.653846153846154,1.7307692307692308,82.5,29.807692307692307,29.807692307692307
1,54.0,1.9230769230769231,3.8461538461538463,1.9230769230769231,82.5,30.0,30.0
1,55.0,1.9230769230769231,3.8461538461538463,1.9230769230769231,82.5,30.0,30.0
1,56.0,2.1153846153846154,3.8461538461538463,2.1153846153846154,82.5,30.19230769230769,30.19230769230769
1,57.0,2.1153846153846154,3.8461538461538463,2.1153846153846154,82.5,30.19230769230769,30.19230769230769
1,58.0,2.5,3.8461538461538463,2.5,82.5,30.384615384615383,30.384615384615383
1,59.0,2.5,3.8461538461538463,2.5,82.5,30.384615384615383,30.384615384615383
1,60.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.153846153846153,30.57692307692308
1,61.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.346153846153847,30.76923076923077
1,62.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.346153846153847,30.76923076923077
1,63.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.346153846153847,30.76923076923077
1,64.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.346153846153847,30.76923076923077
1,65.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.346153846153847,30.76923076923077
1,66.0,2.5,3.8461538461538463,1.7307692307692308,82.5,21.923076923076923,31.346153846153847
1,67.0,2.5,3.8461538461538463,1.7307692307692308,82.5,22.884615384615383,32.88461538461539
1,68.0,2.5,3.8461538461538463,1.7307692307692308,82.5,25.192307692307693,35.57692307692308
1,69.0,2.5,3.8461538461538463,1.7307692307692308,82.5,29.03846153846154,39.61538461538461
1,70.0,2.5,4.230769230769231,1.7307692307692308,82.5,33.07692307692307,44.230769230769226
1,71.0,2.5,4.230769230769231,1.7307692307692308,96.73076923076923,37.69230769230769,49.03846153846153
1,72.0,2.5,4.615384615384616,1.7307692307692308,96.73076923076923,42.69230769230769,54.807692307692314
1,73.0,2.6923076923076925,4.615384615384616,1.9230769230769231,99.8076923076923,48.26923076923077,60.0
1,74.0,2.8846153846153846,4.615384615384616,2.1153846153846154,99.8076923076923,53.07692307692308,65.1923076923077
1,75.0,3.076923076923077,4.615384615384616,2.307692307692308,99.8076923076923,55.57692307692308,67.88461538461539
1,76.0,3.076923076923077,4.615384615384616,2.307692307692308,99.8076923076923,57.49999999999999,69.61538461538461
1,77.0,3.4615384615384617,4.615384615384616,2.5,99.8076923076923,60.76923076923077,73.07692307692307
1,78.0,3.653846153846154,4.615384615384616,0.9615384615384616,99.8076923076923,41.34615384615385,75.96153846153845
1,79.0,3.8461538461538463,4.615384615384616,0.9615384615384616,99.8076923076923,44.230769230769226,78.65384615384615
1,80.0,3.8461538461538463,5.5769230769230775,0.9615384615384616,99.8076923076923,45.57692307692307,80.0
1,81.0,3.8461538461538463,5.5769230769230775,0.9615384615384616,99.8076923076923,46.73076923076923,81.34615384615384
