"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,100,2,2080,1,-1242694224,5.14,1,1,23.34,72.09,3000,0,7.5
2,100,2,2080,1,-1242659452,5.14,1,1,23.34,72.09,3000,0,7.5
3,100,2,2080,1,-1242627054,5.14,1,1,23.34,72.09,3000,0,7.5
4,100,2,2080,1,-1242600108,5.14,1,1,23.34,72.09,3000,0,7.5
5,100,2,2080,1,-1242571640,5.14,1,1,23.34,72.09,3000,0,7.5
6,100,2,2080,1,-1242535281,5.14,1,1,23.34,72.09,3000,0,7.5
7,100,2,2080,1,-1242501942,5.14,1,1,23.34,72.09,3000,0,7.5
8,100,2,2080,1,-1242469760,5.14,1,1,23.34,72.09,3000,0,7.5
9,100,2,2080,1,-1242442569,5.14,1,1,23.34,72.09,3000,0,7.5
10,100,2,2080,1,-1242410148,5.14,1,1,23.34,72.09,3000,0,7.5
