"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1743665913,5.14,1,19,23.34,72.09,500,2,7.5,515,1
3,1743683871,5.14,1,19,23.34,72.09,500,2,7.5,515,3
5,1743684730,5.14,1,19,23.34,72.09,500,2,7.5,515,2
7,1743685949,5.14,1,19,23.34,72.09,500,2,7.5,515,1
9,1743689980,5.14,1,19,23.34,72.09,500,2,7.5,515,3
11,1743690402,5.14,1,19,23.34,72.09,500,2,7.5,515,2
13,1743691245,5.14,1,19,23.34,72.09,500,2,7.5,515,1
15,1743695526,5.14,1,19,23.34,72.09,500,2,7.5,515,3
17,1743696167,5.14,1,19,23.34,72.09,500,2,7.5,515,2
19,1743697073,5.14,1,19,23.34,72.09,500,2,7.5,515,1
21,1743700307,5.14,1,19,23.34,72.09,500,2,7.5,515,3
23,1743700713,5.14,1,19,23.34,72.09,500,2,7.5,515,2
25,1743701573,5.14,1,19,23.34,72.09,500,2,7.5,515,1
27,1743705979,5.14,1,19,23.34,72.09,500,2,7.5,515,3
29,1743706226,5.14,1,19,23.34,72.09,500,2,7.5,515,2
2,1743665913,5.14,1,19,23.34,72.09,500,2,7.5,515,2
4,1743674045,5.14,1,19,23.34,72.09,500,2,7.5,515,1
6,1743681840,5.14,1,19,23.34,72.09,500,2,7.5,515,3
8,1743682777,5.14,1,19,23.34,72.09,500,2,7.5,515,2
10,1743684246,5.14,1,19,23.34,72.09,500,2,7.5,515,1
12,1743688402,5.14,1,19,23.34,72.09,500,2,7.5,515,3
14,1743688839,5.14,1,19,23.34,72.09,500,2,7.5,515,2
16,1743689745,5.14,1,19,23.34,72.09,500,2,7.5,515,1
18,1743693964,5.14,1,19,23.34,72.09,500,2,7.5,515,3
20,1743694370,5.14,1,19,23.34,72.09,500,2,7.5,515,2
22,1743695261,5.14,1,19,23.34,72.09,500,2,7.5,515,1
24,1743699698,5.14,1,19,23.34,72.09,500,2,7.5,515,3
26,1743700135,5.14,1,19,23.34,72.09,500,2,7.5,515,2
28,1743701213,5.14,1,19,23.34,72.09,500,2,7.5,515,1
30,1743705166,5.14,1,19,23.34,72.09,500,2,7.5,515,3
