"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1572559482,5.14,1,50,23.34,72.09,500,0,7.5,515,1
3,1572584387,5.14,1,50,23.34,72.09,500,0,7.5,515,1
5,1572595674,5.14,1,50,23.34,72.09,500,0,7.5,515,1
7,1572601589,5.14,1,50,23.34,72.09,500,0,7.5,515,1
9,1572611350,5.14,1,50,23.34,72.09,500,0,7.5,515,1
2,1572559664,5.14,1,50,23.34,72.09,500,0,7.5,515,1
4,1572584236,5.14,1,50,23.34,72.09,500,0,7.5,515,1
6,1572598061,5.14,1,50,23.34,72.09,500,0,7.5,515,1
8,1572604026,5.14,1,50,23.34,72.09,500,0,7.5,515,1
10,1572613363,5.14,1,50,23.34,72.09,500,0,7.5,515,1
