"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1568651058,5.14,1,50,23.34,72.09,400,0,7.5,515,1
3,1568671067,5.14,1,50,23.34,72.09,400,0,7.5,515,1
5,1568678742,5.14,1,50,23.34,72.09,400,0,7.5,515,1
7,1568684380,5.14,1,50,23.34,72.09,400,0,7.5,515,1
9,1568692929,5.14,1,50,23.34,72.09,400,0,7.5,515,1
2,1568653529,5.14,1,50,23.34,72.09,400,0,7.5,515,1
4,1568674291,5.14,1,50,23.34,72.09,400,0,7.5,515,1
6,1568679744,5.14,1,50,23.34,72.09,400,0,7.5,515,1
8,1568687134,5.14,1,50,23.34,72.09,400,0,7.5,515,1
10,1568708808,5.14,1,50,23.34,72.09,400,0,7.5,515,1
