"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1493989806,5.14,1,50,23.34,72.09,10,0,7.5,515,1
3,1494006571,5.14,1,50,23.34,72.09,10,0,7.5,515,3
5,1494007165,5.14,1,50,23.34,72.09,50,0,7.5,515,2
7,1494008294,5.14,1,50,23.34,72.09,100,0,7.5,515,1
9,1494020516,5.14,1,50,23.34,72.09,100,0,7.5,515,3
11,1494021286,5.14,1,50,23.34,72.09,200,0,7.5,515,2
2,1493988930,5.14,1,50,23.34,72.09,10,0,7.5,515,2
4,1493994351,5.14,1,50,23.34,72.09,50,0,7.5,515,1
6,1494016792,5.14,1,50,23.34,72.09,50,0,7.5,515,3
8,1494018426,5.14,1,50,23.34,72.09,100,0,7.5,515,2
10,1494020084,5.14,1,50,23.34,72.09,200,0,7.5,515,1
12,1494027882,5.14,1,50,23.34,72.09,200,0,7.5,515,3
