"run","tick","GRCount","STCount"
1,1.0,160,7500
1,2.0,160,7500
1,3.0,160,7500
1,4.0,160,7500
1,5.0,160,7500
1,6.0,160,7500
1,7.0,160,7500
1,8.0,160,7500
1,9.0,160,7500
1,10.0,160,7500
1,11.0,160,7500
1,12.0,160,7500
1,13.0,160,7500
1,14.0,160,7500
1,15.0,160,7500
1,16.0,160,7500
1,17.0,160,7500
1,18.0,160,7500
1,19.0,160,7500
1,20.0,160,7500
1,21.0,160,7500
1,22.0,160,7500
1,23.0,160,7500
1,24.0,160,7500
1,25.0,160,7500
1,26.0,160,8669
1,27.0,272,8669
1,28.0,272,8669
1,29.0,441,8669
1,30.0,441,8669
1,31.0,441,8669
1,32.0,441,8669
1,33.0,441,8669
1,34.0,441,8669
1,35.0,761,8669
1,36.0,761,8669
1,37.0,761,8669
1,38.0,970,8669
1,39.0,970,8669
1,40.0,970,8669
1,41.0,970,8669
1,42.0,970,8669
1,43.0,970,8669
1,44.0,970,8669
1,45.0,970,55802
1,46.0,970,55802
1,47.0,970,55802
1,48.0,1390,55802
1,49.0,1835,55802
1,50.0,1835,55802
1,51.0,1835,55802
1,52.0,2436,55802
1,53.0,3026,55802
1,54.0,3026,55802
1,55.0,3026,55802
1,56.0,3026,55802
1,57.0,3026,55802
1,58.0,3026,55802
1,59.0,3026,55802
1,60.0,3026,55802
1,61.0,3026,55802
1,62.0,3026,55802
1,63.0,3026,55802
1,64.0,3026,55802
1,65.0,3026,55802
1,66.0,3026,55802
1,67.0,3026,55802
1,68.0,3026,55802
1,69.0,4301,55802
1,70.0,4301,61586
1,71.0,5612,61586
1,72.0,5612,67985
1,73.0,5612,67985
1,74.0,5612,67985
1,75.0,5612,67985
1,76.0,5612,67985
1,77.0,5612,67985
1,78.0,5612,67985
1,79.0,9510,67985
1,80.0,13514,67985
1,81.0,13514,79489
1,82.0,13514,79489
1,83.0,13514,79489
1,84.0,12739,79489
1,85.0,12739,79489
1,86.0,12739,79489
1,87.0,12739,79489
1,88.0,12739,79489
1,89.0,12739,79489
1,90.0,12739,79489
1,91.0,12739,79489
1,92.0,12739,79489
1,93.0,12739,79489
1,94.0,12739,79489
1,95.0,11334,79489
1,96.0,11334,79489
1,97.0,11334,79489
1,98.0,11334,79489
1,99.0,11334,79489
1,100.0,11334,79489
1,101.0,23116,79489
1,102.0,33793,79489
1,103.0,33793,79489
1,104.0,44441,89369
1,105.0,55024,89369
1,106.0,55024,89369
1,107.0,55024,89369
1,108.0,55024,89369
1,109.0,55024,89369
1,110.0,55024,89369
1,111.0,55024,89369
1,112.0,55024,89369
1,113.0,55710,89369
1,114.0,55710,89369
1,115.0,55710,89369
1,116.0,55710,89369
1,117.0,40473,89369
1,118.0,40473,89369
1,119.0,40473,89369
1,120.0,40473,89369
1,121.0,40473,89369
1,122.0,40473,89369
1,123.0,40473,89369
1,124.0,40473,89369
1,125.0,40473,89369
1,126.0,40473,89369
1,127.0,40473,89369
1,128.0,40473,89369
1,129.0,40473,89369
1,130.0,40473,89369
1,131.0,40473,89369
1,132.0,40473,89369
1,133.0,40473,89369
1,134.0,40473,89369
1,135.0,40473,89369
1,136.0,40473,89369
1,137.0,40473,89369
1,138.0,40473,89369
1,139.0,40473,89369
1,140.0,40473,89369
1,141.0,40473,89369
1,142.0,40473,89369
1,143.0,40473,89369
1,144.0,40473,89369
1,145.0,40473,89369
1,146.0,40473,89369
1,147.0,40473,89369
1,148.0,40473,89369
1,149.0,40473,89369
1,150.0,40473,89369
1,151.0,40473,89369
1,152.0,40473,89369
1,153.0,40473,89369
1,154.0,40473,89369
1,155.0,40473,89369
1,156.0,40473,89369
1,157.0,40473,89369
1,158.0,40473,89369
1,159.0,40473,89369
1,160.0,40473,89369
1,161.0,40473,89369
1,162.0,40473,89369
1,163.0,40473,89369
1,164.0,40473,89369
1,165.0,40473,89369
1,166.0,40473,89369
3,1.0,160,7500
3,2.0,160,7500
3,3.0,160,7500
