"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,3,1684969823,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,3,1685000771,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,3,1685025088,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,3,1685048460,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,3,1685073724,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,3,1684972334,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,3,1685005703,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,3,1685028717,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,3,1685052030,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,3,1685076353,5.14,1,1,23.34,72.09,7500,1,0,7.5
