"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,16,3000,2,2080,2,554746683,5.14,1,1,23.34,72.09,400,0,1,7.5
2,16,3000,2,2080,2,554758367,5.14,1,1,23.34,72.09,400,2,1,7.5
3,16,3000,2,2080,2,554761565,5.14,1,1,23.34,72.09,400,3,1,7.5
4,16,3000,2,2080,2,554764187,5.14,1,1,23.34,72.09,400,0,1,7.5
5,16,3000,2,2080,2,554770576,5.14,1,1,23.34,72.09,400,2,1,7.5
6,16,3000,2,2080,2,554772321,5.14,1,1,23.34,72.09,400,3,1,7.5
7,16,3000,2,2080,2,554775697,5.14,1,1,23.34,72.09,400,0,1,7.5
8,16,3000,2,2080,2,554782045,5.14,1,1,23.34,72.09,400,2,1,7.5
9,16,3000,2,2080,2,554783831,5.14,1,1,23.34,72.09,400,3,1,7.5
10,16,3000,2,2080,2,554786669,5.14,1,1,23.34,72.09,400,0,1,7.5
11,16,3000,2,2080,2,554792482,5.14,1,1,23.34,72.09,400,2,1,7.5
12,16,3000,2,2080,2,554795300,5.14,1,1,23.34,72.09,400,3,1,7.5
13,16,3000,2,2080,2,554797467,5.14,1,1,23.34,72.09,400,0,1,7.5
14,16,3000,2,2080,2,554803160,5.14,1,1,23.34,72.09,400,2,1,7.5
15,16,3000,2,2080,2,554804734,5.14,1,1,23.34,72.09,400,3,1,7.5
16,16,3000,2,2080,2,554807300,5.14,1,1,23.34,72.09,400,0,1,7.5
17,16,3000,2,2080,2,554813020,5.14,1,1,23.34,72.09,400,2,1,7.5
18,16,3000,2,2080,2,554814565,5.14,1,1,23.34,72.09,400,3,1,7.5
19,16,3000,2,2080,2,554816637,5.14,1,1,23.34,72.09,400,0,1,7.5
20,16,3000,2,2080,2,554822356,5.14,1,1,23.34,72.09,400,2,1,7.5
21,16,3000,2,2080,2,554824227,5.14,1,1,23.34,72.09,400,3,1,7.5
22,16,3000,2,2080,2,554826075,5.14,1,1,23.34,72.09,400,0,1,7.5
23,16,3000,2,2080,2,554832009,5.14,1,1,23.34,72.09,400,2,1,7.5
24,16,3000,2,2080,2,554833425,5.14,1,1,23.34,72.09,400,3,1,7.5
25,16,3000,2,2080,2,554835743,5.14,1,1,23.34,72.09,400,0,1,7.5
26,16,3000,2,2080,2,554841660,5.14,1,1,23.34,72.09,400,2,1,7.5
27,16,3000,2,2080,2,554843170,5.14,1,1,23.34,72.09,400,3,1,7.5
28,16,3000,2,2080,2,554845619,5.14,1,1,23.34,72.09,400,0,1,7.5
29,16,3000,2,2080,2,554851518,5.14,1,1,23.34,72.09,400,2,1,7.5
30,16,3000,2,2080,2,554853325,5.14,1,1,23.34,72.09,400,3,1,7.5
