"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,2,-346391040,5.14,1,1,23.34,72.09,3000,1,0,7.5
2,80,2,2080,2,-346382809,5.14,1,1,23.34,72.09,3000,1,0,7.5
3,80,2,2080,2,-346377805,5.14,1,1,23.34,72.09,3000,1,0,7.5
4,80,2,2080,2,-346373931,5.14,1,1,23.34,72.09,3000,1,0,7.5
5,80,2,2080,2,-346370381,5.14,1,1,23.34,72.09,3000,1,0,7.5
6,80,2,2080,2,-346366805,5.14,1,1,23.34,72.09,3000,1,0,7.5
7,80,2,2080,2,-346363126,5.14,1,1,23.34,72.09,3000,1,0,7.5
8,80,2,2080,2,-346359655,5.14,1,1,23.34,72.09,3000,1,0,7.5
9,80,2,2080,2,-346356416,5.14,1,1,23.34,72.09,3000,1,0,7.5
10,80,2,2080,2,-346352906,5.14,1,1,23.34,72.09,3000,1,0,7.5
