"run","tick","GRCount","STCount"
1,1.0,8,1200
1,2.0,8,1200
1,3.0,8,1200
1,4.0,8,1200
1,5.0,8,1200
1,6.0,8,1200
1,7.0,8,1200
1,8.0,8,1200
1,9.0,8,1200
1,10.0,8,1200
1,11.0,8,1200
1,12.0,8,1200
1,13.0,8,1200
1,14.0,8,1200
1,15.0,8,1200
1,16.0,8,1200
1,17.0,8,1200
1,18.0,8,1200
1,19.0,8,1200
1,20.0,8,1200
1,21.0,8,1200
1,22.0,8,1200
1,23.0,8,1200
1,24.0,8,1200
1,25.0,8,1292
1,26.0,8,1292
1,27.0,12,1292
1,28.0,12,1292
1,29.0,15,1849
1,30.0,15,1849
1,31.0,15,1849
1,32.0,15,1849
1,33.0,15,1849
1,34.0,15,1849
1,35.0,22,1849
1,36.0,22,1849
1,37.0,22,1849
1,38.0,28,1849
1,39.0,28,1849
1,40.0,28,1849
1,41.0,28,1849
1,42.0,28,1849
1,43.0,28,1849
1,44.0,28,2713
1,45.0,28,2713
1,46.0,28,2713
1,47.0,28,2713
1,48.0,34,2713
1,49.0,40,2713
1,50.0,40,2713
1,51.0,40,2713
1,52.0,45,2713
1,53.0,57,2713
1,54.0,60,2713
1,55.0,59,2713
1,56.0,54,2713
1,57.0,54,2713
1,58.0,54,2713
1,59.0,54,2713
1,60.0,52,2713
1,61.0,52,2713
1,62.0,52,2713
1,63.0,52,2713
1,64.0,52,2713
1,65.0,52,2713
1,66.0,52,2713
1,67.0,52,2713
1,68.0,52,2713
1,69.0,58,5116
1,70.0,58,5116
1,71.0,67,5142
1,72.0,67,5142
1,73.0,67,5142
1,74.0,67,5142
1,75.0,67,5142
1,76.0,65,5142
1,77.0,64,5142
1,78.0,64,5142
1,79.0,80,5142
1,80.0,104,5525
1,81.0,103,5525
1,82.0,103,5525
1,83.0,103,5525
1,84.0,88,5525
1,85.0,88,5525
1,86.0,88,5525
1,87.0,88,5525
1,88.0,85,5525
1,89.0,85,5525
1,90.0,83,5525
1,91.0,83,5525
1,92.0,83,5525
1,93.0,83,5525
1,94.0,80,5525
1,95.0,70,5525
1,96.0,69,5525
1,97.0,69,5525
1,98.0,69,5525
1,99.0,69,5525
1,100.0,69,5525
1,101.0,76,5525
1,102.0,97,6958
1,103.0,96,6958
1,104.0,117,6958
1,105.0,133,6958
1,106.0,132,6958
1,107.0,132,6958
1,108.0,131,6958
1,109.0,130,6958
1,110.0,130,6958
1,111.0,130,6958
1,112.0,130,6958
1,113.0,130,6958
1,114.0,153,6958
1,115.0,153,6958
1,116.0,152,6958
1,117.0,107,6958
1,118.0,107,6958
1,119.0,107,6958
1,120.0,107,6958
1,121.0,107,6958
1,122.0,107,6958
1,123.0,107,6958
1,124.0,107,6958
1,125.0,107,6958
1,126.0,107,6958
1,127.0,107,6958
1,128.0,107,6958
1,129.0,107,6958
1,130.0,107,6958
1,131.0,107,6958
1,132.0,107,6958
1,133.0,107,6958
1,134.0,107,6958
1,135.0,107,6958
1,136.0,107,6958
1,137.0,107,6958
1,138.0,107,6958
1,139.0,107,6958
1,140.0,107,6958
1,141.0,107,6958
1,142.0,107,6958
1,143.0,107,6958
1,144.0,107,6958
1,145.0,107,6958
1,146.0,107,6958
1,147.0,107,6958
1,148.0,107,6958
1,149.0,107,6958
1,150.0,107,6958
1,151.0,107,6958
1,152.0,107,6958
1,153.0,107,6958
1,154.0,107,6958
1,155.0,107,6958
1,156.0,107,6958
1,157.0,107,6958
1,158.0,107,6958
1,159.0,107,6958
1,160.0,107,6958
1,161.0,107,6958
1,162.0,107,6958
1,163.0,107,6958
1,164.0,107,6958
1,165.0,107,6958
1,166.0,107,6958
3,1.0,8,1200
3,2.0,8,1200
3,3.0,8,1200
3,4.0,8,1200
3,5.0,8,1200
3,6.0,8,1200
3,7.0,8,1200
3,8.0,8,1200
3,9.0,8,1200
3,10.0,8,1200
3,11.0,8,1200
3,12.0,8,1200
3,13.0,8,1200
3,14.0,8,1200
3,15.0,8,1200
3,16.0,8,1200
3,17.0,8,1200
3,18.0,8,1200
3,19.0,8,1200
3,20.0,8,1200
3,21.0,8,1200
3,22.0,8,1200
3,23.0,8,1200
3,24.0,8,1200
3,25.0,8,1269
3,26.0,8,1269
3,27.0,10,1269
3,28.0,10,1269
3,29.0,12,1851
3,30.0,12,1851
3,31.0,12,1851
3,32.0,12,1851
3,33.0,12,1851
3,34.0,12,1851
3,35.0,17,1851
