"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,3000,2,2080,3,265208772,5.14,1,1,23.34,72.09,400,0,1,7.5
2,3000,2,2080,3,265216495,5.14,1,1,23.34,72.09,400,0,1,7.5
3,3000,2,2080,3,265220434,5.14,1,1,23.34,72.09,400,0,1,7.5
4,3000,2,2080,3,265223620,5.14,1,1,23.34,72.09,400,0,1,7.5
5,3000,2,2080,3,265226567,5.14,1,1,23.34,72.09,400,0,1,7.5
6,3000,2,2080,3,265228893,5.14,1,1,23.34,72.09,400,0,1,7.5
7,3000,2,2080,3,265231798,5.14,1,1,23.34,72.09,400,0,1,7.5
8,3000,2,2080,3,265233955,5.14,1,1,23.34,72.09,400,0,1,7.5
9,3000,2,2080,3,265236419,5.14,1,1,23.34,72.09,400,0,1,7.5
10,3000,2,2080,3,265239156,5.14,1,1,23.34,72.09,400,0,1,7.5
