"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1676184101,5.14,1,19,23.34,72.09,500,0,7.5,515,3
3,1676194644,5.14,1,19,23.34,72.09,500,0,7.5,515,3
5,1676198387,5.14,1,19,23.34,72.09,500,0,7.5,515,3
7,1676200040,5.14,1,19,23.34,72.09,500,0,7.5,515,3
9,1676201270,5.14,1,19,23.34,72.09,500,0,7.5,515,3
2,1676182654,5.14,1,19,23.34,72.09,500,0,7.5,515,3
4,1676192142,5.14,1,19,23.34,72.09,500,0,7.5,515,3
6,1676197013,5.14,1,19,23.34,72.09,500,0,7.5,515,3
8,1676199442,5.14,1,19,23.34,72.09,500,0,7.5,515,3
10,1676200514,5.14,1,19,23.34,72.09,500,0,7.5,515,3
