"run","tick","GRCount","STCount"
1,1.0,14,420
1,2.0,14,420
1,3.0,14,420
1,4.0,14,420
1,5.0,14,420
1,6.0,14,420
1,7.0,14,420
1,8.0,14,420
1,9.0,14,420
1,10.0,14,420
1,11.0,14,420
1,12.0,14,420
1,13.0,14,420
1,14.0,14,420
1,15.0,14,420
1,16.0,14,420
1,17.0,14,420
1,18.0,14,420
1,19.0,14,420
1,20.0,14,420
1,21.0,14,420
1,22.0,14,420
1,23.0,14,420
1,24.0,14,420
1,25.0,14,420
1,26.0,14,431
1,27.0,14,431
1,28.0,14,431
1,29.0,14,431
1,30.0,14,431
1,31.0,14,431
1,32.0,14,431
1,33.0,14,431
1,34.0,14,431
1,35.0,17,431
1,36.0,17,431
1,37.0,17,431
1,38.0,18,431
1,39.0,18,431
1,40.0,18,431
1,41.0,18,431
1,42.0,18,431
1,43.0,18,431
1,44.0,18,431
1,45.0,18,1055
1,46.0,18,1055
1,47.0,18,1055
1,48.0,18,1055
1,49.0,21,1055
1,50.0,21,1055
1,51.0,21,1055
1,52.0,21,1055
1,53.0,23,1055
1,54.0,23,1055
1,55.0,23,1055
1,56.0,23,1055
1,57.0,23,1055
1,58.0,23,1055
1,59.0,23,1055
1,60.0,23,793
1,61.0,23,793
1,62.0,23,793
1,63.0,23,793
1,64.0,23,793
1,65.0,23,793
1,66.0,23,793
1,67.0,23,793
1,68.0,23,793
1,69.0,23,793
1,70.0,23,1312
1,71.0,24,1312
1,72.0,24,1915
1,73.0,24,1915
1,74.0,24,1915
1,75.0,24,1915
1,76.0,24,1915
1,77.0,24,1915
1,78.0,24,1358
1,79.0,26,1358
1,80.0,31,1358
1,81.0,31,1417
1,82.0,31,1417
1,83.0,31,1417
1,84.0,21,872
1,85.0,21,872
1,86.0,21,872
1,87.0,21,872
1,88.0,21,872
1,89.0,21,872
1,90.0,21,872
1,91.0,21,872
1,92.0,21,872
1,93.0,21,872
1,94.0,21,872
1,95.0,15,872
1,96.0,15,872
1,97.0,15,872
