"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1592087392,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,1,-1592060581,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,1,-1592051112,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,1,-1592039027,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,1,-1592030409,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,1,-1592022902,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,1,-1592015488,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,1,-1592007188,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,1,-1591999314,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,1,-1591991439,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,1,-1592087367,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,1,-1592064387,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,1,-1592054589,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,1,-1592042355,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,1,-1592033884,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,1,-1592024843,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,1,-1592018370,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,1,-1592010340,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,1,-1591998244,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,1,-1591989502,5.14,1,1,23.34,72.09,700,0,7.5
