"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1991656209,5.14,1,5,23.34,72.09,500,0,7.5,515,3
3,1991661904,5.14,1,5,23.34,72.09,500,0,7.5,515,3
5,1991666798,5.14,1,5,23.34,72.09,500,0,7.5,515,3
7,1991668298,5.14,1,5,23.34,72.09,500,0,7.5,515,3
9,1991669539,5.14,1,5,23.34,72.09,500,0,7.5,515,3
11,1991670512,5.14,1,5,23.34,72.09,500,0,7.5,515,3
13,1991672099,5.14,1,5,23.34,72.09,500,0,7.5,515,3
15,1991673615,5.14,1,5,23.34,72.09,500,0,7.5,515,3
17,1991674167,5.14,1,5,23.34,72.09,500,0,7.5,515,3
19,1991674987,5.14,1,5,23.34,72.09,500,0,7.5,515,3
21,1991675816,5.14,1,5,23.34,72.09,500,0,7.5,515,3
23,1991676499,5.14,1,5,23.34,72.09,500,0,7.5,515,3
25,1991676981,5.14,1,5,23.34,72.09,500,0,7.5,515,3
27,1991677635,5.14,1,5,23.34,72.09,500,0,7.5,515,3
29,1991678148,5.14,1,5,23.34,72.09,500,0,7.5,515,3
31,1991678722,5.14,1,5,23.34,72.09,500,0,7.5,515,3
33,1991679215,5.14,1,5,23.34,72.09,500,0,7.5,515,3
35,1991680081,5.14,1,5,23.34,72.09,500,0,7.5,515,3
37,1991680542,5.14,1,5,23.34,72.09,500,0,7.5,515,3
39,1991681096,5.14,1,5,23.34,72.09,500,0,7.5,515,3
41,1991681621,5.14,1,5,23.34,72.09,500,0,7.5,515,3
43,1991682145,5.14,1,5,23.34,72.09,500,0,7.5,515,3
45,1991682534,5.14,1,5,23.34,72.09,500,0,7.5,515,3
47,1991683048,5.14,1,5,23.34,72.09,500,0,7.5,515,3
49,1991683527,5.14,1,5,23.34,72.09,500,0,7.5,515,3
2,1991656430,5.14,1,5,23.34,72.09,500,0,7.5,515,3
4,1991662789,5.14,1,5,23.34,72.09,500,0,7.5,515,3
6,1991667001,5.14,1,5,23.34,72.09,500,0,7.5,515,3
8,1991668481,5.14,1,5,23.34,72.09,500,0,7.5,515,3
10,1991669714,5.14,1,5,23.34,72.09,500,0,7.5,515,3
12,1991670738,5.14,1,5,23.34,72.09,500,0,7.5,515,3
14,1991672618,5.14,1,5,23.34,72.09,500,0,7.5,515,3
16,1991673504,5.14,1,5,23.34,72.09,500,0,7.5,515,3
18,1991674018,5.14,1,5,23.34,72.09,500,0,7.5,515,3
20,1991674785,5.14,1,5,23.34,72.09,500,0,7.5,515,3
22,1991675789,5.14,1,5,23.34,72.09,500,0,7.5,515,3
24,1991676473,5.14,1,5,23.34,72.09,500,0,7.5,515,3
26,1991676939,5.14,1,5,23.34,72.09,500,0,7.5,515,3
28,1991677735,5.14,1,5,23.34,72.09,500,0,7.5,515,3
30,1991678290,5.14,1,5,23.34,72.09,500,0,7.5,515,3
32,1991678843,5.14,1,5,23.34,72.09,500,0,7.5,515,3
34,1991679356,5.14,1,5,23.34,72.09,500,0,7.5,515,3
36,1991680231,5.14,1,5,23.34,72.09,500,0,7.5,515,3
38,1991680720,5.14,1,5,23.34,72.09,500,0,7.5,515,3
40,1991681306,5.14,1,5,23.34,72.09,500,0,7.5,515,3
42,1991681870,5.14,1,5,23.34,72.09,500,0,7.5,515,3
44,1991682318,5.14,1,5,23.34,72.09,500,0,7.5,515,3
46,1991682766,5.14,1,5,23.34,72.09,500,0,7.5,515,3
48,1991683246,5.14,1,5,23.34,72.09,500,0,7.5,515,3
50,1991683696,5.14,1,5,23.34,72.09,500,0,7.5,515,3
