"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
1,166.0,224.0,867.0,10876.0,8265.0,10166.0,113308.0,1979.0,9204.0,879829.0,134485.0,517754.0,4681.0,18809.0,94499.0,1979.0,0.0,7008.0,2196.0,210507.0,669322.0,21691.0,112794.0,103934.0,413820.0,1565.0,3116.0,224.0,0.0,642.0,225.0,4376.0,6500.0,2090.0,6175.0,3667.0,6499.0
3,166.0,20.0,88.0,6717.0,913.0,5333.0,926.0,209.0,625.0,37328.0,5786.0,36290.0,640.0,703.0,223.0,209.0,0.0,534.0,91.0,14822.0,22506.0,5390.0,396.0,13784.0,22506.0,250.0,390.0,20.0,0.0,84.0,4.0,2687.0,4030.0,848.0,65.0,2079.0,3254.0
5,166.0,42.0,150.0,9647.0,2768.0,8240.0,2257.0,293.0,1023.0,89920.0,18606.0,84927.0,945.0,1424.0,833.0,293.0,0.0,853.0,170.0,33556.0,56364.0,10488.0,8118.0,28563.0,56364.0,296.0,649.0,42.0,0.0,131.0,19.0,3797.0,5850.0,1412.0,1356.0,3095.0,5145.0
7,166.0,212.0,872.0,10791.0,2964.0,9993.0,52553.0,1870.0,10713.0,417848.0,22534.0,344354.0,4218.0,15752.0,36801.0,1870.0,0.0,8554.0,2159.0,164342.0,253506.0,14746.0,7788.0,90848.0,253506.0,1425.0,2793.0,212.0,0.0,677.0,195.0,4356.0,6435.0,1665.0,1299.0,3558.0,6435.0
9,166.0,20.0,50.0,6360.0,872.0,5086.0,773.0,184.0,533.0,36966.0,5979.0,36299.0,389.0,610.0,163.0,184.0,0.0,435.0,98.0,14592.0,22374.0,5517.0,462.0,13925.0,22374.0,132.0,257.0,20.0,0.0,46.0,4.0,2525.0,3835.0,807.0,65.0,1974.0,3112.0
11,166.0,20.0,50.0,9322.0,1788.0,8121.0,718.0,140.0,464.0,90450.0,12353.0,82235.0,391.0,561.0,157.0,140.0,0.0,437.0,27.0,34878.0,55572.0,8921.0,3432.0,26663.0,55572.0,132.0,259.0,20.0,0.0,48.0,2.0,3732.0,5590.0,1197.0,591.0,2930.0,5191.0
13,166.0,672.0,1177.0,10887.0,8738.0,10284.0,82357.0,5506.0,9708.0,869251.0,140833.0,527238.0,4197.0,11912.0,70445.0,1175.0,4331.0,3925.0,5783.0,208139.0,661112.0,32923.0,107910.0,121008.0,406230.0,1395.0,2802.0,168.0,504.0,496.0,681.0,4387.0,6500.0,2510.0,6228.0,3784.0,6500.0
15,166.0,26.0,86.0,6058.0,830.0,4947.0,746.0,211.0,587.0,37566.0,5671.0,36556.0,422.0,573.0,173.0,211.0,0.0,479.0,108.0,14796.0,22770.0,5209.0,462.0,13786.0,22770.0,162.0,260.0,26.0,0.0,71.0,15.0,2418.0,3640.0,765.0,65.0,1946.0,3001.0
17,166.0,20.0,95.0,9697.0,1160.0,7634.0,2012.0,227.0,679.0,84083.0,8807.0,71090.0,743.0,814.0,1198.0,167.0,60.0,492.0,187.0,30487.0,53596.0,8807.0,0.0,25616.0,45474.0,232.0,511.0,20.0,0.0,78.0,17.0,3794.0,5903.0,1160.0,0.0,2936.0,4698.0
19,166.0,172.0,573.0,10887.0,3371.0,10307.0,33235.0,1248.0,5514.0,418856.0,36093.0,367935.0,3301.0,11156.0,22079.0,1248.0,0.0,4021.0,1493.0,164624.0,254232.0,28173.0,7920.0,113703.0,254232.0,1092.0,2209.0,172.0,0.0,424.0,149.0,4387.0,6500.0,2067.0,1304.0,3811.0,6496.0
