"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,3,1685929851,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,3,1685961086,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,3,1685986576,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,3,1686009723,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,3,1686032944,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,3,1685932550,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,3,1685962387,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,3,1685989716,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,3,1686016008,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,3,1686039494,5.14,1,1,23.34,72.09,7500,1,0,7.5
