"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,121.0,118.0,3.0,0.0,0.0,0.0,86.0,86.0,0.0,10478.0,4173.0,6305.0,2938.0,858.0,2080.0,9876.0,3571.0,6305.0,10216.0,1851.0,7749.0,2188391.0,186878.0,1894836.0,3.0,0.0,17.0,1882.0,7736.0,2480.0,255.0,1596.0,5867.0
3,166.0,112.0,112.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,10491.0,4186.0,6305.0,3089.0,879.0,2210.0,9902.0,3597.0,6305.0,9640.0,1893.0,7500.0,2217931.0,196292.0,1920933.0,3.0,0.0,17.0,1807.0,7327.0,2313.0,297.0,1596.0,5693.0
5,166.0,104.0,104.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,10478.0,4173.0,6305.0,2936.0,856.0,2080.0,9873.0,3568.0,6305.0,9198.0,1451.0,7047.0,2175461.0,188588.0,1884174.0,3.0,0.0,17.0,1490.0,7059.0,2139.0,246.0,1205.0,5557.0
7,166.0,93.0,93.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,10476.0,4171.0,6305.0,2941.0,861.0,2080.0,9870.0,3565.0,6305.0,8556.0,1387.0,6655.0,2191728.0,189963.0,1899116.0,3.0,0.0,17.0,1325.0,6772.0,1784.0,197.0,1190.0,5330.0
9,166.0,112.0,112.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,10478.0,4173.0,6305.0,3013.0,869.0,2144.0,9868.0,3563.0,6305.0,9482.0,1796.0,7229.0,2211909.0,190849.0,1914903.0,3.0,0.0,17.0,1700.0,7272.0,2210.0,278.0,1518.0,5529.0
2,166.0,107.0,104.0,3.0,0.0,0.0,0.0,73.0,73.0,0.0,10553.0,4186.0,6367.0,3034.0,889.0,2145.0,9893.0,3588.0,6305.0,9445.0,1713.0,7160.0,2218679.0,196343.0,1920162.0,3.0,0.0,17.0,1761.0,7038.0,2407.0,225.0,1488.0,5399.0
4,166.0,120.0,109.0,11.0,0.0,0.0,0.0,75.0,75.0,0.0,10540.0,4173.0,6367.0,3050.0,905.0,2145.0,9877.0,3572.0,6305.0,9552.0,2346.0,7458.0,2215323.0,197491.0,1917853.0,3.0,0.0,17.0,2313.0,6642.0,2910.0,273.0,2073.0,5145.0
6,166.0,93.0,93.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0,10476.0,4171.0,6305.0,2950.0,870.0,2080.0,9878.0,3573.0,6305.0,9212.0,2004.0,7166.0,2162065.0,187658.0,1873736.0,3.0,0.0,17.0,1914.0,6738.0,2474.0,270.0,1734.0,5252.0
8,166.0,104.0,104.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0,10587.0,4217.0,6370.0,2881.0,866.0,2015.0,9979.0,3609.0,6370.0,9187.0,1670.0,7190.0,2216225.0,189455.0,1918201.0,3.0,0.0,17.0,1610.0,7062.0,2125.0,240.0,1430.0,5580.0
10,166.0,118.0,118.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0,10491.0,4186.0,6305.0,3022.0,877.0,2145.0,9885.0,3580.0,6305.0,9560.0,1844.0,7436.0,2180473.0,192285.0,1889476.0,3.0,0.0,17.0,1743.0,7457.0,2103.0,298.0,1546.0,5693.0
