"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,3000,2,2080,1,325078552,5.14,1,1,23.34,72.09,400,3,1,7.5
2,3000,2,2080,1,325331627,5.14,1,1,23.34,72.09,400,3,1,7.5
3,3000,2,2080,1,325570879,5.14,1,1,23.34,72.09,400,3,1,7.5
4,3000,2,2080,1,325769133,5.14,1,1,23.34,72.09,400,3,1,7.5
5,3000,2,2080,1,325941321,5.14,1,1,23.34,72.09,400,3,1,7.5
6,3000,2,2080,1,326114985,5.14,1,1,23.34,72.09,400,3,1,7.5
7,3000,2,2080,1,326290100,5.14,1,1,23.34,72.09,400,3,1,7.5
8,3000,2,2080,1,326513416,5.14,1,1,23.34,72.09,400,3,1,7.5
9,3000,2,2080,1,326739669,5.14,1,1,23.34,72.09,400,3,1,7.5
10,3000,2,2080,1,326970081,5.14,1,1,23.34,72.09,400,3,1,7.5
