"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,7648.0,2256.0,5392.0,4989.0,695.0,4294.0,5817.0,1403.0,4414.0,10900.0,4400.0,6500.0,9401.0,3031.0,6370.0,10660.0,4160.0,6500.0,1611421.0,430129.0,503565.0,7447191.0,833292.0,4930786.0,1.0,0.0,17.0,428281.0,184118.0,1427303.0,24549.0,405580.0,75284.0
2,166.0,844.0,200.0,644.0,376.0,28.0,348.0,467.0,104.0,363.0,10767.0,4332.0,6435.0,5192.0,1682.0,3510.0,10430.0,3995.0,6435.0,37977.0,11847.0,14912.0,1650362.0,164522.0,1294050.0,2.0,0.0,17.0,11275.0,7892.0,30085.0,1206.0,10641.0,3637.0
3,166.0,220.0,76.0,144.0,52.0,0.0,52.0,97.0,32.0,65.0,10617.0,4184.0,6433.0,3266.0,1121.0,2145.0,10083.0,3778.0,6305.0,8233.0,2425.0,3721.0,1063179.0,86167.0,792830.0,3.0,0.0,17.0,2287.0,2836.0,5397.0,366.0,2059.0,1434.0
4,166.0,7867.0,2348.0,5519.0,5176.0,739.0,4437.0,6017.0,1457.0,4560.0,10900.0,4400.0,6500.0,9389.0,3019.0,6370.0,10668.0,4168.0,6500.0,1689988.0,450136.0,525209.0,7517943.0,848076.0,4955234.0,1.0,0.0,17.0,448366.0,188578.0,1501410.0,25348.0,424788.0,76843.0
5,166.0,852.0,208.0,644.0,377.0,31.0,346.0,477.0,110.0,367.0,10831.0,4332.0,6499.0,5160.0,1715.0,3445.0,10431.0,3996.0,6435.0,41558.0,11828.0,14997.0,1659930.0,165067.0,1301289.0,2.0,0.0,17.0,11506.0,7605.0,33953.0,1146.0,10682.0,3491.0
6,166.0,187.0,58.0,129.0,0.0,0.0,0.0,37.0,22.0,15.0,10617.0,4184.0,6433.0,3416.0,1141.0,2275.0,10068.0,3763.0,6305.0,5250.0,1691.0,2409.0,1060340.0,89911.0,789153.0,3.0,0.0,17.0,1474.0,1824.0,3426.0,330.0,1361.0,935.0
7,166.0,7469.0,2220.0,5249.0,4979.0,721.0,4258.0,5755.0,1394.0,4361.0,10900.0,4400.0,6500.0,9401.0,3031.0,6370.0,10660.0,4160.0,6500.0,1699232.0,449255.0,525985.0,7473379.0,833429.0,4939303.0,1.0,0.0,17.0,447998.0,192610.0,1506622.0,25469.0,423786.0,77987.0
8,166.0,1035.0,250.0,785.0,431.0,33.0,398.0,557.0,129.0,428.0,10767.0,4332.0,6435.0,5197.0,1687.0,3510.0,10420.0,3985.0,6435.0,45757.0,13931.0,17617.0,1632844.0,160999.0,1276980.0,2.0,0.0,17.0,13434.0,9126.0,36631.0,1313.0,12618.0,4183.0
9,166.0,29.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10554.0,4185.0,6369.0,2861.0,976.0,1885.0,10081.0,3776.0,6305.0,2527.0,572.0,967.0,912932.0,72707.0,700166.0,3.0,0.0,17.0,533.0,841.0,1686.0,145.0,427.0,434.0
10,166.0,7728.0,2274.0,5454.0,5112.0,737.0,4375.0,5911.0,1430.0,4481.0,10900.0,4400.0,6500.0,9397.0,3027.0,6370.0,10676.0,4176.0,6500.0,1725653.0,457412.0,534486.0,7482481.0,848876.0,4936993.0,1.0,0.0,17.0,455303.0,194939.0,1530714.0,25948.0,431464.0,79183.0
