"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,16,3000,2,2080,1,553907958,5.14,1,1,23.34,72.09,400,3,1,7.5
2,16,3000,2,2080,1,553960797,5.14,1,1,23.34,72.09,400,3,1,7.5
3,16,3000,2,2080,1,554026043,5.14,1,1,23.34,72.09,400,3,1,7.5
4,16,3000,2,2080,1,554061301,5.14,1,1,23.34,72.09,400,3,1,7.5
5,16,3000,2,2080,1,554092681,5.14,1,1,23.34,72.09,400,3,1,7.5
6,16,3000,2,2080,1,554123545,5.14,1,1,23.34,72.09,400,3,1,7.5
7,16,3000,2,2080,1,554155244,5.14,1,1,23.34,72.09,400,3,1,7.5
8,16,3000,2,2080,1,554209969,5.14,1,1,23.34,72.09,400,3,1,7.5
9,16,3000,2,2080,1,554243375,5.14,1,1,23.34,72.09,400,3,1,7.5
10,16,3000,2,2080,1,554320272,5.14,1,1,23.34,72.09,400,3,1,7.5
