"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,8208.0,2487.0,5721.0,5565.0,830.0,4735.0,6406.0,1547.0,4859.0,10900.0,4400.0,6500.0,8149.0,2299.0,5850.0,10659.0,4159.0,6500.0,2023984.0,565740.0,652533.0,4078104.0,420232.0,3069085.0,1.0,0.0,17.0,562585.0,219088.0,1804896.0,29102.0,536638.0,89948.0
2,166.0,7209.0,2200.0,5009.0,4937.0,793.0,4144.0,5659.0,1420.0,4239.0,10887.0,4387.0,6500.0,8126.0,2341.0,5785.0,10652.0,4152.0,6500.0,2242987.0,629064.0,723891.0,4105363.0,418346.0,3089691.0,1.0,0.0,17.0,625791.0,239901.0,2003086.0,31880.0,597184.0,98100.0
3,166.0,7896.0,2372.0,5524.0,5313.0,783.0,4530.0,6144.0,1495.0,4649.0,10900.0,4400.0,6500.0,8030.0,2310.0,5720.0,10666.0,4166.0,6500.0,1964700.0,551078.0,634913.0,4048832.0,413540.0,3046790.0,1.0,0.0,17.0,548377.0,211144.0,1753556.0,28081.0,522997.0,86536.0
4,166.0,7601.0,2333.0,5268.0,5198.0,771.0,4427.0,6004.0,1478.0,4526.0,10900.0,4400.0,6500.0,8153.0,2303.0,5850.0,10653.0,4153.0,6500.0,1976673.0,553013.0,638963.0,4157583.0,440475.0,3121742.0,1.0,0.0,17.0,551265.0,213924.0,1762749.0,27714.0,525299.0,87698.0
5,166.0,8093.0,2384.0,5709.0,5430.0,789.0,4641.0,6249.0,1485.0,4764.0,10900.0,4400.0,6500.0,8086.0,2301.0,5785.0,10665.0,4165.0,6500.0,2057742.0,571810.0,661125.0,4097241.0,425259.0,3081010.0,1.0,0.0,17.0,569992.0,222231.0,1835511.0,29168.0,542642.0,91133.0
6,166.0,7948.0,2307.0,5641.0,5352.0,770.0,4582.0,6133.0,1431.0,4702.0,10900.0,4400.0,6500.0,8055.0,2270.0,5785.0,10667.0,4167.0,6500.0,1986304.0,558604.0,645520.0,4097621.0,425278.0,3087575.0,1.0,0.0,17.0,556977.0,216224.0,1770080.0,28193.0,530411.0,88543.0
7,166.0,7973.0,2394.0,5579.0,5387.0,784.0,4603.0,6208.0,1492.0,4716.0,10900.0,4400.0,6500.0,8108.0,2323.0,5785.0,10655.0,4155.0,6500.0,1977492.0,551698.0,636097.0,4091832.0,419322.0,3087632.0,1.0,0.0,17.0,548925.0,212914.0,1764578.0,28070.0,523628.0,87172.0
8,166.0,8046.0,2402.0,5644.0,5391.0,788.0,4603.0,6229.0,1504.0,4725.0,10900.0,4400.0,6500.0,8096.0,2311.0,5785.0,10646.0,4146.0,6500.0,2058482.0,568352.0,659579.0,4080986.0,423078.0,3069251.0,1.0,0.0,17.0,567238.0,224731.0,1833751.0,28830.0,539522.0,92341.0
9,166.0,7621.0,2302.0,5319.0,5190.0,770.0,4420.0,5953.0,1432.0,4521.0,10900.0,4400.0,6500.0,8004.0,2284.0,5720.0,10655.0,4155.0,6500.0,1928146.0,546870.0,628939.0,4121482.0,412902.0,3093667.0,1.0,0.0,17.0,542864.0,210276.0,1717870.0,28119.0,518751.0,86075.0
10,166.0,7824.0,2362.0,5462.0,5263.0,784.0,4479.0,6086.0,1495.0,4591.0,10900.0,4400.0,6500.0,8205.0,2290.0,5915.0,10663.0,4163.0,6500.0,2034091.0,565699.0,654011.0,4153427.0,441396.0,3102327.0,1.0,0.0,17.0,563521.0,221778.0,1812313.0,28847.0,536852.0,90490.0
