"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,3,258258716,5.14,1,1,23.34,72.09,2000,1,2,7.5
3,80,2,2080,3,258268290,5.14,1,1,23.34,72.09,2000,1,2,7.5
5,80,2,2080,3,258274924,5.14,1,1,23.34,72.09,2000,1,2,7.5
7,80,2,2080,3,258277948,5.14,1,1,23.34,72.09,2000,1,2,7.5
9,80,2,2080,3,258281141,5.14,1,1,23.34,72.09,2000,1,2,7.5
2,80,2,2080,3,258258949,5.14,1,1,23.34,72.09,2000,1,2,7.5
4,80,2,2080,3,258270012,5.14,1,1,23.34,72.09,2000,1,2,7.5
6,80,2,2080,3,258274048,5.14,1,1,23.34,72.09,2000,1,2,7.5
8,80,2,2080,3,258278888,5.14,1,1,23.34,72.09,2000,1,2,7.5
10,80,2,2080,3,258282755,5.14,1,1,23.34,72.09,2000,1,2,7.5
