"run","tick","IntegralBHGR","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount"
1,166.0,7294.0,5125.0,5517.0,10900.0,4821.0,10026.0,3057311.0,996836.0,1040858.0,7015.0,370.0,4386.0
3,166.0,7656.0,3428.0,3962.0,10876.0,8787.0,10266.0,1054356.0,150671.0,168288.0,10134.0,1647.0,6326.0
5,166.0,6308.0,4466.0,4863.0,10900.0,8255.0,10070.0,2062596.0,644572.0,674009.0,10104.0,1651.0,6272.0
7,166.0,7522.0,5455.0,5920.0,10900.0,8579.0,10246.0,2226297.0,853504.0,892591.0,10083.0,1672.0,6281.0
9,166.0,6947.0,4994.0,5430.0,10900.0,9016.0,10323.0,2413053.0,730218.0,763528.0,10051.0,5423.0,10051.0
11,166.0,6191.0,4358.0,4682.0,10885.0,8812.0,10320.0,2312447.0,700284.0,733712.0,10043.0,1652.0,6229.0
13,166.0,8637.0,6256.0,6820.0,10900.0,9719.0,10415.0,1961650.0,1000132.0,1043134.0,12963.0,7118.0,12963.0
15,166.0,6689.0,3597.0,4053.0,10900.0,4968.0,9978.0,1961167.0,467844.0,494638.0,7124.0,411.0,4410.0
17,166.0,7379.0,4248.0,4754.0,10887.0,5180.0,9904.0,1964867.0,676961.0,711501.0,7194.0,437.0,4449.0
19,166.0,4970.0,3146.0,3444.0,10900.0,4931.0,9976.0,1964768.0,423783.0,451154.0,7124.0,409.0,4421.0
21,166.0,6720.0,5061.0,5432.0,10876.0,8481.0,10176.0,2579134.0,905653.0,942606.0,10288.0,1669.0,6340.0
23,166.0,7824.0,5719.0,6225.0,10887.0,9177.0,10366.0,1926561.0,797507.0,832990.0,9956.0,5365.0,9956.0
25,166.0,7093.0,4984.0,5397.0,10887.0,8809.0,10270.0,3034406.0,965816.0,1009453.0,10097.0,1634.0,6304.0
27,166.0,7425.0,4702.0,5253.0,10876.0,5199.0,9977.0,2297921.0,614049.0,645777.0,7089.0,424.0,4403.0
29,166.0,8290.0,6261.0,6763.0,10876.0,8251.0,10122.0,2148037.0,1150504.0,1199373.0,10276.0,1602.0,6327.0
31,166.0,6743.0,4950.0,5394.0,10900.0,5065.0,9881.0,2979090.0,980939.0,1024363.0,7085.0,434.0,4470.0
33,166.0,7558.0,5443.0,5935.0,10900.0,8154.0,10069.0,2489990.0,1058878.0,1102458.0,9969.0,1617.0,6241.0
35,166.0,6691.0,4921.0,5290.0,10900.0,7985.0,10034.0,2666898.0,939438.0,976840.0,9976.0,1605.0,6192.0
37,166.0,6609.0,4327.0,4659.0,10876.0,8549.0,10129.0,2162998.0,562302.0,592423.0,10061.0,1637.0,6299.0
39,166.0,7527.0,5677.0,6060.0,10887.0,8124.0,10050.0,2206376.0,1008608.0,1050616.0,10111.0,1707.0,6251.0
41,166.0,6359.0,4369.0,4732.0,10876.0,8151.0,10086.0,2544433.0,794058.0,829645.0,9876.0,1635.0,6170.0
43,166.0,6856.0,4534.0,4990.0,10885.0,8503.0,10233.0,2295506.0,595065.0,626697.0,9929.0,1607.0,6215.0
45,166.0,8181.0,5934.0,6528.0,10885.0,4759.0,9915.0,1647195.0,842304.0,878542.0,7112.0,407.0,4397.0
47,166.0,6243.0,3923.0,4287.0,10887.0,4858.0,9962.0,2311978.0,621579.0,654755.0,7074.0,397.0,4417.0
49,166.0,6321.0,4289.0,4708.0,10900.0,9099.0,10323.0,2871621.0,945471.0,986482.0,9962.0,5402.0,9962.0
2,166.0,7289.0,5060.0,5567.0,10885.0,9637.0,10397.0,2576546.0,781809.0,818665.0,12887.0,7058.0,12887.0
4,166.0,7079.0,5264.0,5686.0,10900.0,8080.0,10077.0,3061964.0,1011732.0,1055667.0,9983.0,1630.0,6202.0
6,166.0,6582.0,3230.0,3672.0,10885.0,9658.0,10384.0,1848121.0,415454.0,441369.0,13219.0,7337.0,13219.0
8,166.0,6248.0,4115.0,4453.0,10887.0,9722.0,10412.0,2199105.0,606893.0,638051.0,13024.0,7177.0,13024.0
10,166.0,7137.0,4852.0,5328.0,10876.0,8055.0,10073.0,2461917.0,686553.0,721841.0,9961.0,1575.0,6189.0
12,166.0,7424.0,4991.0,5432.0,10885.0,4887.0,9898.0,1708293.0,567755.0,596295.0,7103.0,417.0,4398.0
14,166.0,7236.0,4519.0,5023.0,10876.0,4668.0,9966.0,2089601.0,560800.0,590696.0,6905.0,374.0,4353.0
16,166.0,5208.0,3685.0,3953.0,10885.0,5174.0,9966.0,2087167.0,578543.0,608188.0,7134.0,412.0,4417.0
18,166.0,4978.0,2886.0,3141.0,10887.0,8039.0,10087.0,1445458.0,213914.0,233212.0,10070.0,1633.0,6225.0
20,166.0,7328.0,4575.0,5059.0,10887.0,4843.0,9918.0,2440862.0,723229.0,757122.0,7030.0,399.0,4382.0
22,166.0,6222.0,3820.0,4214.0,10876.0,9154.0,10322.0,1901582.0,516745.0,543424.0,10072.0,5420.0,10072.0
24,166.0,7457.0,4411.0,4910.0,10853.0,4955.0,9913.0,1988517.0,684668.0,719178.0,7152.0,407.0,4429.0
26,166.0,6752.0,4668.0,5065.0,10900.0,4607.0,9910.0,2415108.0,687332.0,720927.0,7006.0,374.0,4361.0
28,166.0,6968.0,4908.0,5331.0,10900.0,8633.0,10247.0,2270585.0,641729.0,673049.0,10058.0,1647.0,6297.0
30,166.0,7325.0,5032.0,5469.0,10900.0,4793.0,9824.0,1745946.0,585337.0,615587.0,7089.0,398.0,4415.0
32,166.0,6078.0,4012.0,4347.0,10885.0,9674.0,10398.0,2356331.0,681022.0,713827.0,12752.0,6917.0,12752.0
34,166.0,7688.0,5729.0,6207.0,10885.0,4692.0,9953.0,2458062.0,972532.0,1015706.0,7149.0,387.0,4426.0
36,166.0,7101.0,4875.0,5313.0,10887.0,9616.0,10366.0,2355520.0,656246.0,688364.0,12842.0,7018.0,12842.0
38,166.0,8396.0,5874.0,6413.0,10900.0,9053.0,10306.0,1804715.0,913323.0,952164.0,10179.0,5451.0,10179.0
40,166.0,8036.0,5617.0,6165.0,10900.0,9111.0,10324.0,1637968.0,830109.0,865125.0,10023.0,5447.0,10023.0
42,166.0,7475.0,5235.0,5783.0,10885.0,4826.0,9931.0,2237162.0,711671.0,742208.0,7071.0,403.0,4430.0
44,166.0,6577.0,4785.0,5101.0,10876.0,8662.0,10239.0,2703662.0,935079.0,973522.0,10072.0,1613.0,6238.0
46,166.0,8321.0,5401.0,6027.0,10876.0,8272.0,10115.0,1268785.0,529307.0,557139.0,9970.0,1636.0,6226.0
48,166.0,6290.0,4305.0,4674.0,10900.0,8402.0,10176.0,1731403.0,456235.0,480744.0,9829.0,1585.0,6152.0
50,166.0,7172.0,4354.0,4763.0,10900.0,9839.0,10437.0,1582589.0,454964.0,482059.0,13197.0,7310.0,13197.0
