"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,-1791564468,5.14,1,20,23.34,72.09,600,0,7.5,520,1
2,-1791556057,5.14,1,20,23.34,72.09,600,0,7.5,520,1
3,-1791550691,5.14,1,20,23.34,72.09,600,0,7.5,520,1
4,-1791546143,5.14,1,20,23.34,72.09,600,0,7.5,520,1
5,-1791542290,5.14,1,20,23.34,72.09,600,0,7.5,520,1
6,-1791538639,5.14,1,20,23.34,72.09,600,0,7.5,520,1
7,-1791534654,5.14,1,20,23.34,72.09,600,0,7.5,520,1
8,-1791530963,5.14,1,20,23.34,72.09,600,0,7.5,520,1
9,-1791527319,5.14,1,20,23.34,72.09,600,0,7.5,520,1
10,-1791523824,5.14,1,20,23.34,72.09,600,0,7.5,520,1
11,-1791520325,5.14,1,20,23.34,72.09,600,0,7.5,520,1
12,-1791516010,5.14,1,20,23.34,72.09,600,0,7.5,520,1
13,-1791512297,5.14,1,20,23.34,72.09,600,0,7.5,520,1
14,-1791508524,5.14,1,20,23.34,72.09,600,0,7.5,520,1
15,-1791504746,5.14,1,20,23.34,72.09,600,0,7.5,520,1
16,-1791500787,5.14,1,20,23.34,72.09,600,0,7.5,520,1
17,-1791495579,5.14,1,20,23.34,72.09,600,0,7.5,520,1
18,-1791491488,5.14,1,20,23.34,72.09,600,0,7.5,520,1
19,-1791487649,5.14,1,20,23.34,72.09,600,0,7.5,520,1
20,-1791484338,5.14,1,20,23.34,72.09,600,0,7.5,520,1
21,-1791480790,5.14,1,20,23.34,72.09,600,0,7.5,520,1
22,-1791477329,5.14,1,20,23.34,72.09,600,0,7.5,520,1
23,-1791472076,5.14,1,20,23.34,72.09,600,0,7.5,520,1
24,-1791468582,5.14,1,20,23.34,72.09,600,0,7.5,520,1
25,-1791465146,5.14,1,20,23.34,72.09,600,0,7.5,520,1
26,-1791461850,5.14,1,20,23.34,72.09,600,0,7.5,520,1
27,-1791457944,5.14,1,20,23.34,72.09,600,0,7.5,520,1
28,-1791454500,5.14,1,20,23.34,72.09,600,0,7.5,520,1
29,-1791450879,5.14,1,20,23.34,72.09,600,0,7.5,520,1
30,-1791447451,5.14,1,20,23.34,72.09,600,0,7.5,520,1
31,-1791443689,5.14,1,20,23.34,72.09,600,0,7.5,520,1
32,-1791439948,5.14,1,20,23.34,72.09,600,0,7.5,520,1
33,-1791436461,5.14,1,20,23.34,72.09,600,0,7.5,520,1
34,-1791432522,5.14,1,20,23.34,72.09,600,0,7.5,520,1
35,-1791428785,5.14,1,20,23.34,72.09,600,0,7.5,520,1
36,-1791424833,5.14,1,20,23.34,72.09,600,0,7.5,520,1
37,-1791420430,5.14,1,20,23.34,72.09,600,0,7.5,520,1
38,-1791417102,5.14,1,20,23.34,72.09,600,0,7.5,520,1
39,-1791413156,5.14,1,20,23.34,72.09,600,0,7.5,520,1
40,-1791409543,5.14,1,20,23.34,72.09,600,0,7.5,520,1
41,-1791405661,5.14,1,20,23.34,72.09,600,0,7.5,520,1
42,-1791401352,5.14,1,20,23.34,72.09,600,0,7.5,520,1
43,-1791397419,5.14,1,20,23.34,72.09,600,0,7.5,520,1
44,-1791393775,5.14,1,20,23.34,72.09,600,0,7.5,520,1
45,-1791389911,5.14,1,20,23.34,72.09,600,0,7.5,520,1
46,-1791385323,5.14,1,20,23.34,72.09,600,0,7.5,520,1
47,-1791381210,5.14,1,20,23.34,72.09,600,0,7.5,520,1
48,-1791377381,5.14,1,20,23.34,72.09,600,0,7.5,520,1
49,-1791373703,5.14,1,20,23.34,72.09,600,0,7.5,520,1
50,-1791370072,5.14,1,20,23.34,72.09,600,0,7.5,520,1
