"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,7763.0,2351.0,5412.0,5357.0,824.0,4533.0,6224.0,1566.0,4658.0,10900.0,4400.0,6500.0,8955.0,2650.0,6305.0,10357.0,3857.0,6500.0,357682.0,132175.0,152833.0,1440742.0,168778.0,833849.0,1.0,0.0,17.0
2,166.0,7523.0,2164.0,5359.0,5162.0,708.0,4454.0,5970.0,1400.0,4570.0,10900.0,4400.0,6500.0,8796.0,2556.0,6240.0,10223.0,3723.0,6500.0,382827.0,141717.0,164390.0,1415649.0,169722.0,811890.0,1.0,0.0,17.0
3,166.0,7081.0,2054.0,5027.0,4656.0,683.0,3973.0,5449.0,1334.0,4115.0,10900.0,4400.0,6500.0,8729.0,2489.0,6240.0,10264.0,3764.0,6500.0,426822.0,135756.0,157657.0,1400138.0,168246.0,808725.0,1.0,0.0,17.0
4,166.0,7984.0,2353.0,5631.0,5481.0,708.0,4773.0,6448.0,1489.0,4959.0,10900.0,4400.0,6500.0,8997.0,2627.0,6370.0,10282.0,3782.0,6500.0,280567.0,127269.0,148075.0,1409384.0,168089.0,814642.0,1.0,0.0,17.0
5,166.0,7375.0,2156.0,5219.0,5044.0,707.0,4337.0,5845.0,1393.0,4452.0,10887.0,4387.0,6500.0,8890.0,2585.0,6305.0,10248.0,3748.0,6500.0,348514.0,131620.0,151745.0,1412177.0,164362.0,813123.0,1.0,0.0,17.0
6,166.0,7768.0,2268.0,5500.0,5399.0,730.0,4669.0,6238.0,1437.0,4801.0,10900.0,4400.0,6500.0,8896.0,2591.0,6305.0,10258.0,3758.0,6500.0,272497.0,124572.0,143491.0,1410955.0,165752.0,810138.0,1.0,0.0,17.0
7,166.0,7037.0,2032.0,5005.0,4809.0,707.0,4102.0,5547.0,1332.0,4215.0,10887.0,4387.0,6500.0,8859.0,2554.0,6305.0,10281.0,3781.0,6500.0,433201.0,122037.0,140530.0,1386910.0,168072.0,803225.0,1.0,0.0,17.0
8,166.0,7395.0,2164.0,5231.0,5115.0,715.0,4400.0,5896.0,1381.0,4515.0,10887.0,4387.0,6500.0,8936.0,2631.0,6305.0,10300.0,3800.0,6500.0,353239.0,133457.0,153407.0,1414221.0,168533.0,823006.0,1.0,0.0,17.0
9,166.0,7571.0,2267.0,5304.0,5295.0,688.0,4607.0,6131.0,1422.0,4709.0,10885.0,4385.0,6500.0,8857.0,2552.0,6305.0,10240.0,3740.0,6500.0,258096.0,117113.0,135275.0,1394613.0,164989.0,807255.0,1.0,0.0,17.0
10,166.0,7166.0,2076.0,5090.0,4996.0,641.0,4355.0,5794.0,1310.0,4484.0,10900.0,4400.0,6500.0,8971.0,2601.0,6370.0,10310.0,3810.0,6500.0,383315.0,116919.0,136386.0,1414921.0,170372.0,820514.0,1.0,0.0,17.0
11,166.0,7414.0,2206.0,5208.0,5082.0,680.0,4402.0,5938.0,1409.0,4529.0,10900.0,4400.0,6500.0,8949.0,2579.0,6370.0,10250.0,3750.0,6500.0,324451.0,120524.0,139846.0,1414652.0,169031.0,816900.0,1.0,0.0,17.0
12,166.0,7564.0,2299.0,5265.0,5242.0,800.0,4442.0,6076.0,1506.0,4570.0,10900.0,4400.0,6500.0,8901.0,2596.0,6305.0,10259.0,3759.0,6500.0,490518.0,154614.0,178509.0,1429240.0,173007.0,823728.0,1.0,0.0,17.0
