"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,7262.0,2110.0,5152.0,4968.0,713.0,4255.0,5778.0,1381.0,4397.0,10887.0,4387.0,6500.0,7216.0,2016.0,5200.0,10597.0,4097.0,6500.0,1579530.0,499256.0,580922.0,3054818.0,306103.0,2430683.0,1.0,0.0,17.0,502412.0,180939.0,1398591.0,25065.0,474191.0,78510.0
2,166.0,7278.0,2130.0,5148.0,4957.0,700.0,4257.0,5787.0,1402.0,4385.0,10885.0,4385.0,6500.0,7367.0,2102.0,5265.0,10617.0,4117.0,6500.0,1517866.0,476795.0,555329.0,3119580.0,323762.0,2474123.0,1.0,0.0,17.0,479897.0,173689.0,1344177.0,24135.0,452660.0,75432.0
3,166.0,7474.0,2197.0,5277.0,5040.0,719.0,4321.0,5907.0,1445.0,4462.0,10887.0,4387.0,6500.0,7323.0,2058.0,5265.0,10609.0,4109.0,6500.0,1542362.0,482510.0,561860.0,3114920.0,315857.0,2474435.0,1.0,0.0,17.0,485192.0,175579.0,1366783.0,24712.0,457798.0,76668.0
4,166.0,7522.0,2234.0,5288.0,5057.0,711.0,4346.0,5944.0,1442.0,4502.0,10887.0,4387.0,6500.0,7168.0,2033.0,5135.0,10606.0,4106.0,6500.0,1229506.0,452383.0,527911.0,3091161.0,313087.0,2453961.0,1.0,0.0,17.0,454753.0,167276.0,1062230.0,23716.0,428667.0,73158.0
5,166.0,7382.0,2169.0,5213.0,5040.0,720.0,4320.0,5875.0,1427.0,4448.0,10876.0,4376.0,6500.0,7285.0,2020.0,5265.0,10588.0,4088.0,6500.0,1544918.0,489198.0,570356.0,3064441.0,313985.0,2437552.0,1.0,0.0,17.0,492352.0,178582.0,1366336.0,24334.0,464864.0,78004.0
6,166.0,7337.0,2125.0,5212.0,4974.0,690.0,4284.0,5758.0,1359.0,4399.0,10887.0,4387.0,6500.0,7301.0,2036.0,5265.0,10611.0,4111.0,6500.0,1482495.0,461825.0,539050.0,3077511.0,313488.0,2442350.0,1.0,0.0,17.0,465253.0,169414.0,1313081.0,23747.0,438078.0,73797.0
7,166.0,7489.0,2151.0,5338.0,5048.0,727.0,4321.0,5851.0,1402.0,4449.0,10887.0,4387.0,6500.0,7406.0,2076.0,5330.0,10607.0,4107.0,6500.0,1613644.0,505278.0,588140.0,3089918.0,317842.0,2454018.0,1.0,0.0,17.0,508091.0,185051.0,1428593.0,25612.0,479666.0,80049.0
8,166.0,7544.0,2205.0,5339.0,5072.0,723.0,4349.0,5912.0,1435.0,4477.0,10876.0,4376.0,6500.0,7163.0,2028.0,5135.0,10606.0,4106.0,6500.0,1532808.0,481468.0,561087.0,3063358.0,309877.0,2433180.0,1.0,0.0,17.0,483840.0,177130.0,1355678.0,24313.0,457155.0,77247.0
9,166.0,7084.0,2029.0,5055.0,4755.0,679.0,4076.0,5517.0,1327.0,4190.0,10885.0,4385.0,6500.0,7247.0,2047.0,5200.0,10606.0,4106.0,6500.0,1692141.0,469500.0,545690.0,3085044.0,314036.0,2450005.0,1.0,0.0,17.0,471807.0,169515.0,1522626.0,24042.0,445458.0,73883.0
10,166.0,7251.0,2166.0,5085.0,4919.0,699.0,4220.0,5772.0,1426.0,4346.0,10876.0,4376.0,6500.0,7322.0,2057.0,5265.0,10604.0,4104.0,6500.0,1485344.0,471220.0,546603.0,3079813.0,314866.0,2441695.0,1.0,0.0,17.0,472938.0,169300.0,1316044.0,23653.0,447567.0,73665.0
