"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,100,2,2080,1,-1241195932,5.14,1,1,23.34,72.09,2800,0,7.5
2,100,2,2080,1,-1241160873,5.14,1,1,23.34,72.09,2800,0,7.5
3,100,2,2080,1,-1241136885,5.14,1,1,23.34,72.09,2800,0,7.5
4,100,2,2080,1,-1241107472,5.14,1,1,23.34,72.09,2800,0,7.5
5,100,2,2080,1,-1241074046,5.14,1,1,23.34,72.09,2800,0,7.5
6,100,2,2080,1,-1241052737,5.14,1,1,23.34,72.09,2800,0,7.5
7,100,2,2080,1,-1241027329,5.14,1,1,23.34,72.09,2800,0,7.5
8,100,2,2080,1,-1241003143,5.14,1,1,23.34,72.09,2800,0,7.5
9,100,2,2080,1,-1240972927,5.14,1,1,23.34,72.09,2800,0,7.5
10,100,2,2080,1,-1240944383,5.14,1,1,23.34,72.09,2800,0,7.5
