"tick","GRCount","STCount"
1.0,140,5250
2.0,140,5250
3.0,140,5250
4.0,140,5250
5.0,140,5250
6.0,140,5250
7.0,140,5250
8.0,140,5250
9.0,140,5250
10.0,140,5250
11.0,140,5250
12.0,140,5250
13.0,140,5250
14.0,140,5250
15.0,140,5250
16.0,140,5250
17.0,140,5250
18.0,140,5250
19.0,140,5250
20.0,140,5250
21.0,140,5250
22.0,140,5250
23.0,140,5250
24.0,140,5250
25.0,140,5250
26.0,140,5650
27.0,148,5650
28.0,148,5650
29.0,159,5650
30.0,159,5650
31.0,159,5650
32.0,159,5650
33.0,159,5650
34.0,159,5650
35.0,182,5650
36.0,182,5650
37.0,182,5650
38.0,198,5650
39.0,198,5650
40.0,198,5650
41.0,198,5650
42.0,198,5650
43.0,198,5650
44.0,198,5650
45.0,198,21733
46.0,198,21733
47.0,198,21733
48.0,207,21733
49.0,225,21733
50.0,225,21733
51.0,225,21733
52.0,236,21733
53.0,255,21733
54.0,255,21733
55.0,255,21733
56.0,255,21733
57.0,255,21733
58.0,255,21733
59.0,255,21733
60.0,255,21733
61.0,255,21733
62.0,255,21733
63.0,255,21733
64.0,255,21733
65.0,255,21733
66.0,255,21733
67.0,255,21733
68.0,255,21733
69.0,274,21733
70.0,274,23783
71.0,297,23783
72.0,297,25983
73.0,297,25983
74.0,297,25983
75.0,297,25983
76.0,297,25983
77.0,297,25983
78.0,297,25983
79.0,324,25983
80.0,353,25983
81.0,353,29024
82.0,353,29024
83.0,353,29024
84.0,296,29024
85.0,296,29024
86.0,296,29024
87.0,296,29024
88.0,296,29024
89.0,296,29024
90.0,296,29024
91.0,296,29024
92.0,296,29024
93.0,296,29024
94.0,296,29024
95.0,225,29024
96.0,225,29024
97.0,225,29024
98.0,225,29024
99.0,225,29024
100.0,225,29024
101.0,173,29024
102.0,188,29024
103.0,188,29024
104.0,200,30992
105.0,217,30992
106.0,217,30992
107.0,217,30992
108.0,217,30992
109.0,217,30992
110.0,217,30992
111.0,217,30992
112.0,217,30992
113.0,233,30992
114.0,233,30992
115.0,233,30992
116.0,233,30992
117.0,104,30992
118.0,104,30992
119.0,104,30992
120.0,104,30992
121.0,104,30992
122.0,104,30992
123.0,104,30992
124.0,104,30992
125.0,104,30992
126.0,104,30992
127.0,104,30992
128.0,104,30992
129.0,104,30992
130.0,104,30992
131.0,104,30992
132.0,104,30992
133.0,104,30992
134.0,104,30992
135.0,104,30992
136.0,104,30992
137.0,104,30992
138.0,104,30992
139.0,104,30992
140.0,104,30992
141.0,104,30992
142.0,104,30992
143.0,104,30992
144.0,104,30992
145.0,104,30992
146.0,104,30992
147.0,104,30992
148.0,104,30992
149.0,104,30992
150.0,104,30992
151.0,104,30992
152.0,104,30992
153.0,104,30992
154.0,104,30992
155.0,104,30992
156.0,104,30992
157.0,104,30992
158.0,104,30992
159.0,104,30992
160.0,104,30992
161.0,104,30992
162.0,104,30992
163.0,104,30992
164.0,104,30992
165.0,104,30992
166.0,104,30992
