"tick","GRCount","STCount"
1.0,8,2100
2.0,8,2100
3.0,8,2100
4.0,8,2100
5.0,8,2100
6.0,8,2100
7.0,8,2100
8.0,8,2100
9.0,8,2100
10.0,8,2100
11.0,8,2100
12.0,8,2100
13.0,8,2100
14.0,8,2100
15.0,8,2100
16.0,8,2100
17.0,8,2100
18.0,8,2100
19.0,8,2100
20.0,8,2100
21.0,8,2100
22.0,8,2100
23.0,8,2100
24.0,8,2100
25.0,8,2100
26.0,8,2100
27.0,8,2100
28.0,8,2100
29.0,9,2100
30.0,9,2100
31.0,9,2100
32.0,9,2100
33.0,9,2100
34.0,9,2100
35.0,14,2100
36.0,14,2100
37.0,14,2100
38.0,16,2100
39.0,16,2100
40.0,16,2100
41.0,16,2100
42.0,16,2100
43.0,16,2100
44.0,16,5101
45.0,16,5101
46.0,16,5101
47.0,16,5101
48.0,20,5101
49.0,25,5101
50.0,25,5101
51.0,25,5101
52.0,31,5101
53.0,38,5101
54.0,40,5101
55.0,39,5101
56.0,38,5101
57.0,38,5101
58.0,37,5101
59.0,37,5101
60.0,32,5101
61.0,32,5101
62.0,32,5101
63.0,32,5101
64.0,32,5101
65.0,32,5101
66.0,32,5101
67.0,32,5101
68.0,32,5101
69.0,36,8504
70.0,36,8504
71.0,36,8504
72.0,36,8504
73.0,36,8504
74.0,36,8504
75.0,36,8504
76.0,36,8504
77.0,36,8504
78.0,36,8504
79.0,36,8504
80.0,36,8504
81.0,36,8504
82.0,36,8504
83.0,36,8504
84.0,30,8504
85.0,30,8504
86.0,30,8504
87.0,30,8504
88.0,30,8504
89.0,30,8504
90.0,30,8504
91.0,30,8504
92.0,30,8504
93.0,30,8504
94.0,30,8504
95.0,22,8504
96.0,22,8504
97.0,22,8504
98.0,22,8504
99.0,22,8504
100.0,22,8504
101.0,12,8504
102.0,15,10854
103.0,15,10854
104.0,15,10854
105.0,15,10854
106.0,15,10854
107.0,15,10854
108.0,15,10854
109.0,15,10854
110.0,15,10854
111.0,15,10854
112.0,15,10854
113.0,15,10854
114.0,15,10854
115.0,15,10854
116.0,15,10854
117.0,5,10854
118.0,5,10854
119.0,5,10854
120.0,5,10854
121.0,5,10854
122.0,5,10854
123.0,5,10854
124.0,5,10854
125.0,5,10854
126.0,5,10854
127.0,5,10854
128.0,5,10854
129.0,5,10854
130.0,5,10854
131.0,5,10854
132.0,5,10854
133.0,5,10854
134.0,5,10854
135.0,5,10854
136.0,5,10854
137.0,5,10854
138.0,5,10854
139.0,5,10854
140.0,5,10854
141.0,5,10854
142.0,5,10854
143.0,5,10854
144.0,5,10854
145.0,5,10854
146.0,5,10854
147.0,5,10854
148.0,5,10854
149.0,5,10854
150.0,5,10854
151.0,5,10854
152.0,5,10854
153.0,5,10854
154.0,5,10854
155.0,5,10854
156.0,5,10854
157.0,5,10854
158.0,5,10854
159.0,5,10854
160.0,5,10854
161.0,5,10854
162.0,5,10854
163.0,5,10854
164.0,5,10854
165.0,5,10854
166.0,5,10854
