"tick","GRCount","STCount"
1.0,7,140
2.0,7,140
3.0,7,140
4.0,7,140
5.0,7,140
6.0,7,140
7.0,7,140
8.0,7,140
9.0,7,140
10.0,7,140
11.0,7,140
12.0,7,140
13.0,7,140
14.0,7,140
15.0,7,140
16.0,7,140
17.0,7,140
18.0,7,140
19.0,7,140
20.0,7,140
21.0,7,140
22.0,7,140
23.0,7,140
24.0,7,140
25.0,7,140
26.0,7,140
27.0,7,140
28.0,7,140
29.0,7,140
30.0,7,140
31.0,7,140
32.0,7,140
33.0,15,140
34.0,15,140
35.0,15,140
36.0,15,140
37.0,21,140
38.0,21,140
39.0,21,140
40.0,21,140
41.0,26,140
42.0,32,140
43.0,32,140
44.0,32,140
45.0,32,140
46.0,32,140
47.0,32,140
48.0,32,140
49.0,32,140
50.0,37,140
51.0,37,140
52.0,46,140
53.0,53,140
54.0,53,140
55.0,53,140
56.0,49,140
57.0,49,140
58.0,47,140
59.0,66,140
60.0,65,140
61.0,65,140
62.0,82,140
63.0,105,140
64.0,105,140
65.0,105,140
66.0,105,140
67.0,105,140
68.0,105,140
69.0,105,140
70.0,105,140
71.0,105,140
72.0,105,140
73.0,105,140
74.0,105,140
75.0,105,140
76.0,105,140
77.0,105,140
78.0,105,140
79.0,105,140
80.0,101,140
81.0,100,140
82.0,171,140
83.0,167,140
84.0,155,140
85.0,154,140
86.0,151,140
87.0,150,140
88.0,148,140
89.0,146,140
90.0,146,140
91.0,146,140
92.0,146,140
93.0,146,140
94.0,145,140
95.0,126,140
96.0,123,140
97.0,122,140
98.0,119,140
99.0,117,140
100.0,115,140
101.0,86,140
102.0,85,140
103.0,84,140
104.0,82,140
105.0,77,140
106.0,74,140
107.0,68,140
108.0,59,140
109.0,59,140
110.0,59,140
111.0,59,140
112.0,59,140
113.0,59,140
114.0,59,140
115.0,59,140
116.0,59,140
117.0,34,140
118.0,34,140
119.0,34,140
120.0,34,140
121.0,34,140
122.0,34,140
123.0,34,140
124.0,34,140
125.0,34,140
126.0,34,140
127.0,34,140
128.0,34,140
129.0,34,140
130.0,34,140
131.0,34,140
132.0,34,140
133.0,34,140
134.0,34,140
135.0,34,140
136.0,34,140
137.0,34,140
138.0,34,140
139.0,34,140
140.0,34,140
141.0,34,140
142.0,34,140
143.0,34,140
144.0,34,140
145.0,34,140
146.0,34,140
147.0,34,140
148.0,34,140
149.0,34,140
150.0,34,140
151.0,34,140
152.0,34,140
153.0,34,140
154.0,34,140
155.0,34,140
156.0,34,140
157.0,34,140
158.0,34,140
159.0,34,140
160.0,34,140
161.0,34,140
162.0,34,140
163.0,34,140
164.0,34,140
165.0,34,140
166.0,34,140
