"tick","GRCount","STCount"
1.0,20,700
2.0,20,700
3.0,20,700
4.0,20,700
5.0,20,700
6.0,20,700
7.0,20,700
8.0,20,700
9.0,20,700
10.0,20,700
11.0,20,700
12.0,20,700
13.0,20,700
14.0,20,700
15.0,20,700
16.0,20,700
17.0,20,700
18.0,20,700
19.0,20,700
20.0,20,700
21.0,20,700
22.0,20,700
23.0,20,700
24.0,20,700
25.0,20,700
26.0,20,796
27.0,35,796
28.0,35,796
29.0,53,796
30.0,53,796
31.0,53,796
32.0,53,796
33.0,53,796
34.0,53,796
35.0,93,796
36.0,93,796
37.0,93,796
38.0,123,796
39.0,123,796
40.0,123,796
41.0,123,796
42.0,123,796
43.0,123,796
44.0,123,796
45.0,123,4562
46.0,123,4562
47.0,123,4562
48.0,186,4562
49.0,239,4562
50.0,239,4562
51.0,239,4562
52.0,308,4562
53.0,376,4562
54.0,376,4562
55.0,376,4562
56.0,376,4562
57.0,376,4562
58.0,376,4562
59.0,376,4562
60.0,376,4562
61.0,376,4562
62.0,376,4562
63.0,376,4562
64.0,376,4562
65.0,376,4562
66.0,376,4562
67.0,376,4562
68.0,376,4562
69.0,538,4562
70.0,538,5112
71.0,697,5112
72.0,697,5782
73.0,697,5782
