"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1574959558,5.14,1,50,23.34,72.09,500,0,7.5,515,1
2,1574972481,5.14,1,50,23.34,72.09,500,0,7.5,515,1
3,1574976263,5.14,1,50,23.34,72.09,500,0,7.5,515,1
4,1574980950,5.14,1,50,23.34,72.09,500,0,7.5,515,1
5,1574985266,5.14,1,50,23.34,72.09,500,0,7.5,515,1
6,1574988951,5.14,1,50,23.34,72.09,500,0,7.5,515,1
7,1574992749,5.14,1,50,23.34,72.09,500,0,7.5,515,1
8,1574997347,5.14,1,50,23.34,72.09,500,0,7.5,515,1
9,1575001603,5.14,1,50,23.34,72.09,500,0,7.5,515,1
10,1575005750,5.14,1,50,23.34,72.09,500,0,7.5,515,1
