"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1480067298,5.14,1,50,23.34,72.09,10,0,7.5,515,1
3,1480078976,5.14,1,50,23.34,72.09,10,0,7.5,515,1
5,1480087038,5.14,1,50,23.34,72.09,10,0,7.5,515,1
7,1480091902,5.14,1,50,23.34,72.09,10,0,7.5,515,1
9,1480097086,5.14,1,50,23.34,72.09,10,0,7.5,515,1
2,1480067414,5.14,1,50,23.34,72.09,10,0,7.5,515,1
4,1480079551,5.14,1,50,23.34,72.09,10,0,7.5,515,1
6,1480084750,5.14,1,50,23.34,72.09,10,0,7.5,515,1
8,1480091365,5.14,1,50,23.34,72.09,10,0,7.5,515,1
10,1480095886,5.14,1,50,23.34,72.09,10,0,7.5,515,1
