"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1574103208,5.14,1,50,23.34,72.09,500,0,7.5,515,1
2,1574114961,5.14,1,50,23.34,72.09,500,0,7.5,515,1
3,1574119233,5.14,1,50,23.34,72.09,500,0,7.5,515,1
4,1574123262,5.14,1,50,23.34,72.09,500,0,7.5,515,1
5,1574126957,5.14,1,50,23.34,72.09,500,0,7.5,515,1
6,1574130351,5.14,1,50,23.34,72.09,500,0,7.5,515,1
7,1574133647,5.14,1,50,23.34,72.09,500,0,7.5,515,1
8,1574137129,5.14,1,50,23.34,72.09,500,0,7.5,515,1
9,1574141002,5.14,1,50,23.34,72.09,500,0,7.5,515,1
10,1574144455,5.14,1,50,23.34,72.09,500,0,7.5,515,1
