"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1572880611,5.14,1,50,23.34,72.09,500,0,7.5,515,1
2,1572895401,5.14,1,50,23.34,72.09,500,0,7.5,515,1
3,1572903164,5.14,1,50,23.34,72.09,500,0,7.5,515,1
4,1572910428,5.14,1,50,23.34,72.09,500,0,7.5,515,1
5,1572920046,5.14,1,50,23.34,72.09,500,0,7.5,515,1
6,1572927250,5.14,1,50,23.34,72.09,500,0,7.5,515,1
7,1572931991,5.14,1,50,23.34,72.09,500,0,7.5,515,1
8,1572939122,5.14,1,50,23.34,72.09,500,0,7.5,515,1
9,1572944110,5.14,1,50,23.34,72.09,500,0,7.5,515,1
10,1572952232,5.14,1,50,23.34,72.09,500,0,7.5,515,1
