"run","randomSeed","applicationcost","risktox","PestCount","erzeugerpreis","fungizid","septoria_count","behaviour","tox","cropCount","resistance"
1,1738948099,5.14,1,19,23.34,72.09,500,2,7.5,515,1
3,1738962443,5.14,1,19,23.34,72.09,500,2,7.5,515,1
5,1738966963,5.14,1,19,23.34,72.09,500,2,7.5,515,1
7,1738970905,5.14,1,19,23.34,72.09,500,2,7.5,515,1
9,1738975259,5.14,1,19,23.34,72.09,500,2,7.5,515,1
2,1738948099,5.14,1,19,23.34,72.09,500,2,7.5,515,1
4,1738959287,5.14,1,19,23.34,72.09,500,2,7.5,515,1
6,1738964794,5.14,1,19,23.34,72.09,500,2,7.5,515,1
8,1738968467,5.14,1,19,23.34,72.09,500,2,7.5,515,1
10,1738973748,5.14,1,19,23.34,72.09,500,2,7.5,515,1
