"run","tick","GRCount","STCount"
1,1.0,5,501
1,2.0,6,501
1,3.0,6,501
1,4.0,6,501
1,5.0,6,501
1,6.0,6,501
1,7.0,6,501
1,8.0,6,501
1,9.0,6,501
1,10.0,6,501
1,11.0,6,501
1,12.0,6,501
1,13.0,6,501
1,14.0,6,501
1,15.0,6,501
1,16.0,6,501
1,17.0,6,501
1,18.0,6,501
1,19.0,6,501
1,20.0,6,501
1,21.0,6,501
1,22.0,6,501
1,23.0,6,501
1,24.0,6,501
1,25.0,6,501
1,26.0,6,501
1,27.0,8,501
1,28.0,8,501
1,29.0,19,501
1,30.0,19,501
1,31.0,19,501
1,32.0,19,501
1,33.0,19,501
1,34.0,19,501
1,35.0,55,501
1,36.0,55,501
1,37.0,55,501
1,38.0,79,501
1,39.0,79,501
1,40.0,79,501
1,41.0,79,501
1,42.0,79,501
1,43.0,79,501
1,44.0,79,501
1,45.0,79,3507
1,46.0,79,3507
1,47.0,79,3507
1,48.0,120,3507
1,49.0,161,3507
1,50.0,161,3507
1,51.0,161,3507
1,52.0,235,3507
1,53.0,274,3507
1,54.0,289,3507
1,55.0,289,3507
1,56.0,289,3507
1,57.0,289,3507
1,58.0,289,3507
1,59.0,289,3507
1,60.0,289,3507
1,61.0,289,3507
1,62.0,289,3507
1,63.0,289,3507
1,64.0,289,3507
1,65.0,289,3507
1,66.0,289,3507
1,67.0,289,3507
1,68.0,289,3507
1,69.0,588,3507
1,70.0,588,3818
1,71.0,833,3818
1,72.0,833,5742
1,73.0,833,5742
1,74.0,833,5742
1,75.0,833,5742
1,76.0,833,5742
1,77.0,833,5742
1,78.0,833,5742
1,79.0,1882,5742
1,80.0,2522,5742
1,81.0,2522,7617
1,82.0,2522,7617
1,83.0,2522,7617
1,84.0,2522,7617
1,85.0,2522,7617
1,86.0,2522,7617
1,87.0,2422,7617
1,88.0,2422,7617
1,89.0,2422,7617
1,90.0,2422,7617
1,91.0,2422,7617
1,92.0,2422,7617
1,93.0,2422,7617
1,94.0,2422,7617
1,95.0,2422,7617
1,96.0,2422,7617
1,97.0,2422,7617
1,98.0,1804,7617
1,99.0,1804,7617
1,100.0,1804,7617
1,101.0,8903,7617
1,102.0,12899,7617
1,103.0,12899,7617
1,104.0,17649,11724
1,105.0,19457,11724
1,106.0,19457,11724
1,107.0,19457,11724
1,108.0,19457,11724
1,109.0,19457,11724
1,110.0,19457,11724
1,111.0,19457,11724
1,112.0,19457,11724
1,113.0,19851,11724
1,114.0,19938,11724
1,115.0,19938,11724
1,116.0,19938,11724
1,117.0,19938,11724
1,118.0,19938,11724
1,119.0,19938,11724
1,120.0,12824,11724
1,121.0,12824,11724
1,122.0,12824,11724
1,123.0,12824,11724
1,124.0,12824,11724
1,125.0,12824,11724
1,126.0,12824,11724
1,127.0,12824,11724
1,128.0,12824,11724
1,129.0,12824,11724
1,130.0,12824,11724
1,131.0,12824,11724
1,132.0,12824,11724
1,133.0,12824,11724
1,134.0,12824,11724
1,135.0,12824,11724
1,136.0,12824,11724
1,137.0,12824,11724
1,138.0,12824,11724
1,139.0,12824,11724
1,140.0,12824,11724
1,141.0,12824,11724
1,142.0,12824,11724
1,143.0,12824,11724
1,144.0,12824,11724
1,145.0,12824,11724
1,146.0,12824,11724
1,147.0,12824,11724
1,148.0,12824,11724
1,149.0,12824,11724
1,150.0,12824,11724
1,151.0,12824,11724
1,152.0,12824,11724
1,153.0,12824,11724
1,154.0,12824,11724
1,155.0,12824,11724
1,156.0,12824,11724
1,157.0,12824,11724
1,158.0,12824,11724
1,159.0,12824,11724
1,160.0,12824,11724
1,161.0,12824,11724
1,162.0,12824,11724
1,163.0,12824,11724
1,164.0,12824,11724
1,165.0,12824,11724
1,166.0,12824,11724
3,1.0,5,501
3,2.0,6,501
3,3.0,6,501
3,4.0,6,501
3,5.0,6,501
3,6.0,6,501
3,7.0,6,501
3,8.0,6,501
3,9.0,6,501
3,10.0,6,501
3,11.0,6,501
3,12.0,6,501
3,13.0,6,501
3,14.0,6,501
3,15.0,6,501
3,16.0,6,501
3,17.0,6,501
3,18.0,6,501
3,19.0,6,501
3,20.0,6,501
3,21.0,6,501
3,22.0,6,501
3,23.0,6,501
3,24.0,6,501
3,25.0,6,501
3,26.0,6,501
3,27.0,8,501
3,28.0,8,501
3,29.0,9,501
3,30.0,9,501
3,31.0,9,501
3,32.0,9,501
3,33.0,9,501
3,34.0,9,501
3,35.0,45,501
3,36.0,45,501
3,37.0,45,501
3,38.0,67,501
3,39.0,67,501
3,40.0,67,501
3,41.0,67,501
3,42.0,67,501
3,43.0,67,501
3,44.0,67,501
3,45.0,67,3507
3,46.0,67,3507
3,47.0,67,3507
3,48.0,101,3507
3,49.0,124,3507
3,50.0,124,3507
3,51.0,124,3507
3,52.0,168,3507
3,53.0,184,3507
3,54.0,187,3507
3,55.0,187,3507
3,56.0,187,3507
3,57.0,187,3507
3,58.0,187,3507
3,59.0,187,3507
3,60.0,187,3507
3,61.0,187,3507
3,62.0,187,3507
3,63.0,187,3507
3,64.0,187,3507
3,65.0,187,3507
3,66.0,187,3507
3,67.0,187,3507
3,68.0,187,3507
3,69.0,456,3507
3,70.0,456,3781
3,71.0,650,3781
3,72.0,650,4050
3,73.0,650,4050
3,74.0,650,4050
3,75.0,650,4050
3,76.0,650,4050
3,77.0,650,4050
3,78.0,650,4050
3,79.0,1296,4050
3,80.0,1709,4050
3,81.0,1709,6040
