"tick","GRCount","STCount"
1.0,19,501
2.0,20,501
3.0,20,501
4.0,20,501
5.0,20,501
6.0,20,501
7.0,20,501
8.0,20,501
9.0,20,501
10.0,20,501
11.0,20,501
12.0,20,501
13.0,20,501
14.0,20,501
15.0,20,501
16.0,20,501
17.0,20,501
18.0,20,501
19.0,20,501
20.0,20,501
21.0,20,501
22.0,20,501
23.0,20,501
24.0,20,501
25.0,20,501
26.0,20,501
27.0,27,501
28.0,27,501
29.0,42,501
30.0,42,501
31.0,42,501
32.0,42,501
33.0,42,501
34.0,42,501
35.0,102,501
36.0,102,501
37.0,102,501
38.0,144,501
39.0,144,501
40.0,144,501
41.0,144,501
42.0,144,501
43.0,144,501
44.0,144,501
45.0,144,3507
46.0,144,3507
47.0,144,3507
48.0,203,3507
49.0,240,3507
50.0,240,3507
51.0,240,3507
52.0,332,3507
53.0,381,3507
54.0,389,3507
55.0,389,3507
56.0,389,3507
57.0,389,3507
58.0,389,3507
59.0,389,3507
60.0,389,3507
61.0,389,3507
62.0,389,3507
63.0,389,3507
64.0,389,3507
65.0,389,3507
66.0,389,3507
67.0,389,3507
68.0,389,3507
69.0,684,3507
70.0,684,3764
71.0,909,3764
72.0,909,4049
73.0,909,4049
74.0,909,4049
75.0,909,4049
76.0,909,4049
77.0,909,4049
78.0,909,4049
79.0,1638,4049
80.0,2072,4049
81.0,2072,5902
82.0,2072,5902
83.0,2072,5902
84.0,2072,5902
85.0,2072,5902
86.0,2072,5902
87.0,1952,5902
88.0,1952,5902
89.0,1952,5902
90.0,1952,5902
91.0,1952,5902
92.0,1952,5902
93.0,1952,5902
94.0,1952,5902
95.0,1952,5902
96.0,1952,5902
97.0,1952,5902
98.0,1640,5902
99.0,1640,5902
100.0,1640,5902
101.0,1984,5902
102.0,2192,5902
103.0,2192,5902
104.0,1754,9092
105.0,1914,9092
106.0,1914,9092
107.0,1914,9092
108.0,1914,9092
109.0,1914,9092
110.0,1914,9092
111.0,1914,9092
112.0,1914,9092
113.0,2144,9092
114.0,2189,9092
115.0,2189,9092
116.0,2189,9092
117.0,2189,9092
118.0,2189,9092
119.0,2189,9092
120.0,1215,9092
121.0,1215,9092
122.0,1215,9092
123.0,1215,9092
124.0,1215,9092
125.0,1215,9092
126.0,1215,9092
127.0,1215,9092
128.0,1215,9092
129.0,1215,9092
130.0,1215,9092
131.0,1215,9092
132.0,1215,9092
133.0,1215,9092
134.0,1215,9092
135.0,1215,9092
136.0,1215,9092
137.0,1215,9092
138.0,1215,9092
139.0,1215,9092
140.0,1215,9092
141.0,1215,9092
142.0,1215,9092
143.0,1215,9092
144.0,1215,9092
145.0,1215,9092
146.0,1215,9092
147.0,1215,9092
148.0,1215,9092
149.0,1215,9092
150.0,1215,9092
151.0,1215,9092
152.0,1215,9092
153.0,1215,9092
154.0,1215,9092
155.0,1215,9092
156.0,1215,9092
157.0,1215,9092
158.0,1215,9092
159.0,1215,9092
160.0,1215,9092
161.0,1215,9092
162.0,1215,9092
163.0,1215,9092
164.0,1215,9092
165.0,1215,9092
166.0,1215,9092
